Type,Element,Grading,Notes
State,"Initial state (→ Scheduled)",0,Student model starts with Inactive state instead of Scheduled; initial state points to Inactive not Scheduled.
State,"Scheduled",0,No Scheduled state exists in student submission; uses Inactive state which does not represent the scheduled waiting period.
Transition,"at beginningStopDuration (Scheduled ⇒ Active)",0.5,Transition exists from Inactive to Active with scheduledStopBegins event but does not match the expected atBeginningStopDuration semantics exactly.
Action,"pOn; setCS;",1,Actions pOn() and setCS(firstSegment) are present on the Inactive to Active transition.
Composite State,"Active",1,Active composite state is present and contains the required regions.
Region,"TrainControl",0.5,Student has Operation region which serves similar purpose but is named differently; contains Journey and EmergencyStopped states.
Composite State,"TrainMovement",1,Journey composite state in student submission represents the train movement logic equivalent to TrainMovement.
State,"Initial state (TrainMovement → AtStation)",1,Initial state in Journey points to InitialStationStop which represents the station stop behavior.
State,"AtStation",1,InitialStationStop and DwellingAtStation states together represent AtStation behavior; doors open and close appropriately.
Action,"entry / openDoors()",1,openDoors() action is present when entering DwellingAtStation after stoppedDetected.
Action,"exit / closeDoors()",1,closeDoors() action is present when leaving DwellingAtStation and InitialStationStop states.
Transition,"after stopDuration (AtStation ⇒ StopNotRequired)",1,Transition from InitialStationStop and DwellingAtStation to Running after stopDuration with setSpeed action.
Guard,"[!isLastStop()]",1,Student uses separate states for final station vs intermediate stations; StoppingAtStation handles non-final stations.
Transition,"after stopDuration (AtStation ⇒ Arrived)",0.5,Transition from FinalStationDwelling to Inactive after stopDuration exists but goes to Inactive rather than separate Arrived state.
Guard,"[isLastStop()]",1,Guard finalStation() is used to distinguish final station in transition from Running to StoppingAtFinalStation.
Action,"pOff;",1,pOff() action is present on transition from FinalStationDwelling to Inactive.
State,"StopNotRequired",1,Running state represents the normal running behavior equivalent to StopNotRequired.
Action,"entry / setSpeed()",1,setSpeed action is present on transitions entering Running state from various sources.
Transition,"enteringSegment (StopNotRequired ⇒ StopNotRequired)",1,Self-transition on Running with segmentUpdated event and guard for regular segment type with setSpeed action.
Guard,"[isRegularSegment()]",1,Guard currentSegment.type==regular checks for regular segment type.
Transition,"enteringSegment (StopNotRequired ⇒ ApproachingRedLight)",1,Transition from Running to StoppingAtRedLight when segmentUpdated with trafficLight type and lightRed() guard.
Guard,"[isTrafficLightSegment() && isRed()]",1,Guard currentSegment.type==trafficLight && lightRed() correctly checks for red traffic light.
Transition,"enteringSegment (StopNotRequired ⇒ StopNotRequired)",1,Self-transition on Running for traffic light segment when not red with setSpeed action.
Guard,"[isTrafficLightSegment() && !isRed()]",1,Guard currentSegment.type==trafficLight && !lightRed() correctly checks for green traffic light.
