generator,grader,model_element,items,score_0_count,score_0_5_count,score_1_count,score_0_pct,score_0_5_pct,score_1_pct
GPT-5.5,Claude4.5Sonnet,Action,111,16,3,92,0.14414414414414414,0.02702702702702703,0.8288288288288288
GPT-5.5,Claude4.5Sonnet,Composite State,31,11,0,20,0.3548387096774194,0.0,0.6451612903225806
GPT-5.5,Claude4.5Sonnet,Guard,66,12,1,53,0.18181818181818182,0.015151515151515152,0.803030303030303
GPT-5.5,Claude4.5Sonnet,History State,18,12,0,6,0.6666666666666666,0.0,0.3333333333333333
GPT-5.5,Claude4.5Sonnet,Overall Score,570,95,17,458,0.16666666666666666,0.02982456140350877,0.8035087719298246
GPT-5.5,Claude4.5Sonnet,Region,23,9,2,12,0.391304347826087,0.08695652173913043,0.5217391304347826
GPT-5.5,Claude4.5Sonnet,State,131,17,1,113,0.1297709923664122,0.007633587786259542,0.8625954198473282
GPT-5.5,Claude4.5Sonnet,Transition,190,18,10,162,0.09473684210526316,0.05263157894736842,0.8526315789473684
Gemini3.1ProPreview,Claude4.5Sonnet,Action,111,53,8,50,0.4774774774774775,0.07207207207207207,0.45045045045045046
Gemini3.1ProPreview,Claude4.5Sonnet,Composite State,31,11,1,19,0.3548387096774194,0.03225806451612903,0.6129032258064516
Gemini3.1ProPreview,Claude4.5Sonnet,Guard,66,21,8,37,0.3181818181818182,0.12121212121212122,0.5606060606060606
Gemini3.1ProPreview,Claude4.5Sonnet,History State,18,13,0,5,0.7222222222222222,0.0,0.2777777777777778
Gemini3.1ProPreview,Claude4.5Sonnet,Overall Score,571,156,39,376,0.2732049036777583,0.06830122591943957,0.658493870402802
Gemini3.1ProPreview,Claude4.5Sonnet,Region,24,11,1,12,0.4583333333333333,0.041666666666666664,0.5
Gemini3.1ProPreview,Claude4.5Sonnet,State,131,20,6,105,0.15267175572519084,0.04580152671755725,0.8015267175572519
Gemini3.1ProPreview,Claude4.5Sonnet,Transition,190,27,15,148,0.14210526315789473,0.07894736842105263,0.7789473684210526
