Type,Element,Grading,Notes
State,"Initial state (→ Watch)",1,Top level initial transition to Watch is present
Action,"time=0:00:00; alarmTime=0:00:00; alarm=false; flashAlert=false; cdTime=0:00:00",0,Initial variable values are not modeled
Composite State,"Watch",1,Watch composite state is present
Region,"Light",1,Backlight region represents the light behavior
State,"Initial state (Light → Off)",1,Backlight initially enters BacklightOff
State,"Off",1,BacklightOff state is present
Action,"entry / lightOff()",1,Being in BacklightOff represents the light being off
Transition,"D (Off ⇒ On)",1,D turns BacklightOff to BacklightOn
State,"On",1,BacklightOn state is present
Action,"entry / lightOn()",1,Being in BacklightOn represents the light being on
Transition,"D (On ⇒ Off)",1,D turns BacklightOn to BacklightOff
Transition,"after 10sec (On ⇒ Off)",1,BacklightOn automatically turns off after 10 seconds
Transition,"flash (On ⇒ Flash)",1,Alert events can move BacklightOn to BacklightFlashing
Guard,"[flashAlert]",1,Flashing backlight transitions are guarded by flashAlertOn
State,"Flash",1,BacklightFlashing state is present
Action,"do / flash5Sec()",1,BacklightFlashing lasts for 5 seconds and represents flashing
Transition,"flash (Flash ⇒ Off)",1,BacklightFlashing returns to off after 5 seconds
Guard,"[flashAlert]",1,Flash entry is conditioned on flashAlertOn
Transition,"anyButton (Flash ⇒ Off)",1,Any button stops BacklightFlashing
Region,"WatchMode",1,Main region represents the watch mode behavior
State,"Initial state (WatchMode → AlarmOff)",1,Main region initially enters NormalOperation
Composite State,"AlarmOff",1,NormalOperation represents the normal non notification watch operation
State,"Initial state (AlarmOff → TimeKeepingMode)",1,NormalOperation initially enters Timekeeping
Composite State,"TimeKeepingMode",1,Timekeeping composite state is present
State,"Initial state (TimeKeepingMode → Idle)",1,Timekeeping initially enters ShowTime
State,"Idle",1,ShowTime represents idle timekeeping
Action,"do / displayTime()",1,ShowTime represents displaying current time
Transition,"B2sec (Idle ⇒ Idle)",1,B held for 2 seconds toggles flash alert in ShowTime
Action,"toggleFlashAlert()",1,toggleFlashAlert action is present
Transition,"B (Idle ⇒ Idle)",1,B toggles alarm in ShowTime
Action,"toggleAlarm()",1,toggleAlarm action is present
Transition,"C (Idle ⇒ Seconds)",1,C from ShowTime enters SetTime beginning with SetSeconds
Action,"flashSeconds()",1,SetSeconds has flashing behavior noted
Transition,"A (TimeKeepingMode ⇒ AlarmMode)",1,A from ShowTime enters Alarm mode
State,"Seconds",1,SetSeconds state is present for time setting
Transition,"B (Seconds ⇒ Seconds)",1,B self transition increments seconds
Action,"time+=1sec",1,incrementSeconds represents increasing time seconds
Transition,"C (Seconds ⇒ Minutes)",1,C moves from SetSeconds to SetMinutes
Action,"flashMinutes()",1,SetMinutes has flashing behavior noted
State,"Minutes",1,SetMinutes state is present for time setting
Transition,"B (Minutes ⇒ Minutes)",1,B self transition increments minutes
Action,"time+=1min",1,incrementMinutes represents increasing time minutes
Transition,"C (Minutes ⇒ Hours)",1,C moves from SetMinutes to SetHours
Action,"flashHours()",1,SetHours has flashing behavior noted
State,"Hours",1,SetHours state is present for time setting
Transition,"B (Hours ⇒ Hours)",1,B self transition increments hours
Action,"time+=1hr",1,incrementHours represents increasing time hours
Transition,"C (Hours ⇒ Seconds)",1,C rotates from SetHours back to SetSeconds
Action,"flashSeconds()",1,SetSeconds has flashing behavior noted
Transition,"A (TimeKeepingMode ⇒ AlarmMode)",1,A mode change from time display to alarm is modeled
Composite State,"AlarmMode",1,Alarm composite state is present
