Type	Element	Grading	Notes
State	Initial state (→ Watch)	1	Represented as [*] --> Watch
Action	time=0:00:00; alarmTime=0:00:00; alarm=false; flashAlert=false; cdTime=0:00:00	0	No initialization action on the initial transition to Watch
Composite State	Watch	1	Watch is correctly modeled as a composite state with multiple regions
Region	Light	0.5	Represented as region Backlight which captures similar functionality but differs in structure (missing Flash state)
State	Initial state (Light → Off)	1	Represented as [*] --> BacklightOff in Backlight region
State	Off	1	Represented as BacklightOff state
Action	entry / lightOff()	1	Represented as entry / turnBacklightOff() which is semantically equivalent
Transition	D (Off ⇒ On)	1	Represented as BacklightOff --> BacklightOn : D
State	On	1	Represented as BacklightOn state
Action	entry / lightOn()	1	Represented as entry / turnBacklightOn() which is semantically equivalent
Transition	D (On ⇒ Off)	1	Represented as BacklightOn --> BacklightOff : D
Transition	after 10sec (On ⇒ Off)	1	Represented as BacklightOn --> BacklightOff : after10sec
Transition	flash (On ⇒ Flash)	0	No Flash state or transition to Flash state in Backlight region
Guard	[flashAlert]	0	No guard condition for flash transition (Flash state not present)
State	Flash	0	No Flash state in the Backlight region
Action	do / flash5Sec()	0	No flash5Sec() action (Flash state not present)
Transition	flash (Flash ⇒ Off)	0	No transition from Flash to Off (Flash state not present)
Guard	[flashAlert]	0	No guard condition for flash transition (Flash state not present)
Transition	anyButton (Flash ⇒ Off)	0	No anyButton transition from Flash (Flash state not present)
Region	WatchMode	1	Represented as region UserInterface which contains the watch mode logic
State	Initial state (WatchMode → AlarmOff)	0.5	Initial state goes to NormalOperation which contains modes but no explicit AlarmOff composite state
Composite State	AlarmOff	0	No AlarmOff composite state; alarm on/off is modeled in separate AlarmSwitch region
State	Initial state (AlarmOff → TimeKeepingMode)	1	NormalOperation starts with [*] --> TimekeepingMode
Composite State	TimeKeepingMode	1	Represented as TimekeepingMode composite state
State	Initial state (TimeKeepingMode → Idle)	1	TimekeepingMode starts with [*] --> TimeDisplay
State	Idle	1	Represented as TimeDisplay state
Action	do / displayTime()	1	Represented as do: showCurrentTime() which is semantically equivalent
Transition	B2sec (Idle ⇒ Idle)	0.5	B held for 2 seconds is in FlashAlertSwitch region as Bheld2sec but not as self-transition on TimeDisplay
Action	toggleFlashAlert()	0.5	B press for alarm toggle is in AlarmSwitch region but not as self-transition on TimeDisplay
Transition	B (Idle ⇒ Idle)	1	Represented as enableFlashAlert() / disableFlashAlert() in FlashAlertSwitch region
Action	toggleAlarm()	1	Represented as enableAlarm() / disableAlarm() in AlarmSwitch region
Transition	C (Idle ⇒ Seconds)	1	Represented as TimeDisplay --> TimeSetSeconds : C
Action	flashSeconds()	1	Represented as do: flashCurrentSeconds() in TimeSetSeconds state
Transition	A (TimeKeepingMode ⇒ AlarmMode)	1	Represented as TimeDisplay --> AlarmMode : A
State	Seconds	1	Represented as TimeSetSeconds state
Transition	B (Seconds ⇒ Seconds)	1	Represented as TimeSetSeconds --> TimeSetSeconds : B / incrementCurrentSeconds()
Action	time+=1sec	1	Represented as incrementCurrentSeconds() which is semantically equivalent
Transition	C (Seconds ⇒ Minutes)	1	Represented as TimeSetSeconds --> TimeSetMinutes : C
