Type	Element	Grading	Notes
State	Initial state (→ Off)	1	Correctly represented
State	Off	1	Correctly represented
Transition	on (Off ⇒ On)	1	Correctly represented
Composite State	On	1	Correctly represented
Transition	on => off	1	Correctly represented
Composite State	Setup	1	Correctly represented
State	Initial state (Setup → Medium)	1	Correctly represented inside CrustSelection region
Action	delay=0; selectFirstCourse()	1	Correctly represented as entry actions in Setup
State	Medium	1	Correctly represented
Transition	setup initial state => medium	1	Correctly represented
Transition	medium => dark	1	Correctly represented
State	Dark	1	Correctly represented
Transition	dark => light	1	Correctly represented
State	Light	1	Correctly represented
History State	H	1	Semantically equivalent behavior achieved using parallel regions
Transition	setup => H	1	Modeled as internal transitions within parallel regions
Action	selectNextCourse()	1	Correctly represented as nextCourse()
Transition	plus (Setup ⇒ Setup)	1	Correctly represented within TimerSetup region
Guard	[delay <= 17*60+50]	1	Correctly represented as [timer < 18h]
Action	delay = delay + 10	1	Correctly represented as increaseTimer(10min)
Transition	minus (Setup ⇒ Setup)	1	Correctly represented within TimerSetup region
Guard	[delay >= 10]	1	Correctly represented as [timer > 0]
Action	delay = delay - 10	1	Correctly represented as decreaseTimer(10min)
Transition	start (Setup ⇒ Countdown)	1	Correctly represented
Guard	[delay > 0]	1	Correctly represented
Transition	start (Setup ⇒ Baking)	1	Correctly represented
Guard	[delay == 0]	1	Correctly represented
State	Countdown	1	Correctly represented
Action	setCourseTimes()	0	Not represented in the student submission
Transition	Countdown => baking	1	Correctly represented as timerFinished
Transition	Countdown => setup	1	Correctly represented
Action	setCourseTimes()	0	Not represented in the student submission
Composite State	Baking	1	Correctly represented
State	Initial state	1	Correctly represented
State	Kneading	1	Correctly represented
Action	startKneading()	1	Correctly represented
Action	stopKneading()	1	Correctly represented
Transition	baking initial state => kneading	1	Correctly represented
Transition	kneading => rising	1	Correctly represented
State	Rising	1	Correctly represented
Transition	rising => baking	1	Correctly represented
State	Baking	1	Correctly represented
Action	heat()	1	Correctly represented
Transition	baking => warming	1	Correctly represented
State	Warming	1	Correctly represented
Action	warm()	1	Correctly represented
Transition	adter 60min (warming => setup)	1	Correctly represented
Transition	baking => setup	1	Correctly represented
State	additional elements	0	No unnecessary additional states
Transition	additional elements	0	No unnecessary additional transitions
Guard	additional elements	0	No unnecessary additional guards
Action	additional elements	0	No unnecessary additional actions
Composite State	additional elements	0	No unnecessary additional composite states
Region	additional elements	0	Regions used appropriately as an alternative to history state
History State	additional elements	0	No unnecessary additional history states
