Type	Element	Grading	Notes
State	Initial state (→ Scheduled)	1	Initial pseudostate goes to Scheduled.
State	Scheduled	1	Scheduled state is explicitly modeled.
Transition	at beginningStopDuration (Scheduled ⇒ Active)	1	Scheduled enters Active at the start of the stop duration.
Action	pOn; setCS;	1	Transition powers on and sets the first segment.
Composite State	Active	1	Active composite state contains the train behavior.
Region	TrainControl	1	ControlRegion represents the train control behavior.
Composite State	TrainMovement	1	Control composite contains the normal movement and stopping states.
State	Initial state (TrainMovement → AtStation)	1	Control initially enters AtStation.
State	AtStation	1	AtStation is explicitly modeled.
Action	entry / openDoors()	1	AtStation has an entry note to open doors.
Action	exit / closeDoors()	0.5	Doors close only on the nonfinal departure transition and not as a general exit behavior.
Transition	after stopDuration (AtStation ⇒ StopNotRequired)	1	Nonfinal station departure after stopDuration goes to Moving which is the normal running state.
Guard	[!isLastStop()]	1	The nonfinal departure uses a !finalStation guard.
Transition	after stopDuration (AtStation ⇒ Arrived)	1	Final station departure after stopDuration goes to Off which represents powered off arrival.
Guard	[isLastStop()]	1	The final station transition is guarded by finalStation.
Action	pOff;	1	The final station transition performs pOff.
State	StopNotRequired	1	Moving represents the state where no stop is currently required.
Action	entry / setSpeed()	1	Required speed is set when entering or remaining in the normal moving behavior.
Transition	enteringSegment (StopNotRequired ⇒ StopNotRequired)	1	Moving self transition handles a new regular segment.
Guard	[isRegularSegment()]	1	Regular segment is included in the self transition guard.
Transition	enteringSegment (StopNotRequired ⇒ ApproachingRedLight)	1	New red traffic light segment leads to StoppingAtLight.
Guard	[isTrafficLightSegment() && isRed()]	1	Traffic light and red conditions are both present.
Transition	enteringSegment (StopNotRequired ⇒ StopNotRequired)	1	Green traffic light segment remains in Moving.
Guard	[isTrafficLightSegment() && !isRed()]	1	Traffic light and green condition are represented.
Transition	enteringSegment (StopNotRequired ⇒ ApproachingStation)	0.5	Station segments lead to StoppingAtStation but the need to stop is not checked.
Guard	[isStationSegment() && stopRequired()]	0.5	The guard checks station segment only and omits stopRequired.
State	ApproachingRedLight	1	StoppingAtLight represents approaching a red light stop.
Action	entry / stopAL	1	stopAL is executed when the red light stop is initiated.
Transition	stopped (ApproachingRedLight ⇒ AtRedTrafficLight)	1	Stopped event moves to WaitingAtLight.
State	AtRedTrafficLight	1	WaitingAtLight represents the train waiting at the red light.
Transition	green (AtRedTrafficLight ⇒ StopNotRequired)	1	Green event returns to Moving and sets speed.
State	ApproachingStation	1	StoppingAtStation represents approaching a station stop.
Action	entry / stopAL	1	stopAL is executed when the station stop is initiated.
Transition	stopped (ApproachingStation ⇒ AtStation)	1	Stopped event moves from StoppingAtStation to AtStation.
History State	History State for TrainMovement	1	H is modeled and used to resume from Emergency.
State	Emergency	1	Emergency state is explicitly modeled.
Transition	emergency (TrainMovement ⇒ Emergency)	1	Control transitions to Emergency on obstruction which represents the emergency trigger.
Action	eStop;	1	Emergency transition performs eStop.
Transition	clear (Emergency ⇒ History State)	1	Cleared transition returns from Emergency to H.
Region	SDS	1	SDSRegion is modeled as an independent region.
State	Initial state (SDS → SDSActive)	1	SDSRegion initially enters SDS_Running.
State	SDSActive	1	SDS_Running represents the active SDS.
Transition	after 1 sec (SDSActive ⇒ SDSActive)	1	SDS checks every second with a self transition.
Guard	[hasSegmentChanged()]	1	The SDS transition is guarded by newSegmentDetected.
Action	setCS; enteringSegment()	0.5	setCS is present but no enteringSegment event or action is generated.
Transition	after 1 sec (SDSActive ⇒ SDSActive)	0	No explicit no segment change transition is modeled.
Guard	[!hasSegmentChanged()]	0	No negated segment change guard is modeled.
Region	MDS	1	MDSRegion is modeled as an independent region.
State	Initial state (MDS → Stopped)	0	MDS initializes to a generic running state rather than Stopped.
State	Stopped	0	No Stopped state is modeled in MDS.
Transition	after 1 sec (Stopped ⇒ Moving)	0	No MDS transition from Stopped to Moving is modeled.
Guard	[speed > 0]	0	No speed greater than zero guard is modeled in MDS.
Transition	after 1 sec (Stopped ⇒ Stopped)	0	No MDS self transition for remaining stopped is modeled.
Guard	[speed == 0]	0	No speed equals zero guard is modeled for stopped detection.
Action	stopped()	0	MDS does not emit a stopped action or event.
State	Moving	0	Moving exists in control but not as an MDS detection state.
Transition	after 1 sec (Moving ⇒ Stopped)	0	No MDS transition from Moving to Stopped is modeled.
Guard	[speed == 0]	0	No speed equals zero guard is modeled for Moving to Stopped.
Action	stopped()	0	MDS does not generate stopped when speed becomes zero.
