Type	Element	Grading	Notes
State	Initial state (→ Scheduled)	0	Student model starts with Off state instead of Scheduled; no Scheduled state exists
State	Scheduled	0	No Scheduled state in student submission
Transition	at beginningStopDuration (Scheduled ⇒ Active)	0	No Scheduled state or corresponding transition exists
Action	pOn; setCS;	0.5	pOn() exists on Off→On transition but setCS is in WaitingAtFirstStation entry action not on transition
Composite State	Active	1	On state serves as the active composite state containing all train operations
Region	TrainControl	1	Journey region contains train control logic
Composite State	TrainMovement	1	Moving composite state represents train movement behavior
State	Initial state (TrainMovement → AtStation)	0	Initial state in Journey region goes to WaitingAtFirstStation not AtStation
State	AtStation	0.5	StoppedAtStation exists but represents intermediate stations; WaitingAtFirstStation represents first station
Action	entry / openDoors()	1	DoorsOpening state with entry/openDoors() in StoppedAtStation composite
Action	exit / closeDoors()	0.5	DoorsClosing state exists but not modeled as exit action of parent state
Transition	after stopDuration (AtStation ⇒ StopNotRequired)	0.5	WaitingAtStation→DoorsClosing uses afterStopDuration but goes to Moving not a separate StopNotRequired state
Guard	[!isLastStop()]	1	Guard [segmentType==station && !finalStation] on Moving→StoppedAtStation transition
Transition	after stopDuration (AtStation ⇒ Arrived)	0.5	StoppedAtFinalStation→Off uses afterStopDuration but no explicit Arrived state
Guard	[isLastStop()]	1	Guard [segmentType==station && finalStation] on Moving→StoppedAtFinalStation transition
Action	pOff;	1	pOff() action on StoppedAtFinalStation→Off transition
State	StopNotRequired	0	No explicit StopNotRequired state; Traveling state exists but serves different purpose
Action	entry / setSpeed()	0.5	setSpeed() called on transitions but not as entry action of a state
Transition	enteringSegment (StopNotRequired ⇒ StopNotRequired)	0.5	Self-transitions on Moving for regular segments exist but no StopNotRequired state
Guard	[isRegularSegment()]	1	Guard [segmentType==regular] on Moving self-transition
Transition	enteringSegment (StopNotRequired ⇒ ApproachingRedLight)	0	No ApproachingRedLight state; transition goes directly to StoppedAtTrafficLight
Guard	[isTrafficLightSegment() && isRed()]	1	Guard [segmentType==trafficLight && lightRed] on Moving→StoppedAtTrafficLight
Transition	enteringSegment (StopNotRequired ⇒ StopNotRequired)	1	Self-transition on Moving with guard [segmentType==trafficLight && !lightRed]
Guard	[isTrafficLightSegment() && !isRed()]	1	Guard [segmentType==trafficLight && !lightRed] present
Transition	enteringSegment (StopNotRequired ⇒ ApproachingStation)	0	No ApproachingStation state; transition goes directly to StoppedAtStation
Guard	[isStationSegment() && stopRequired()]	1	Guard [segmentType==station && !finalStation] captures station stop requirement
State	ApproachingRedLight	0	No ApproachingRedLight state; stopping handled directly in StoppedAtTrafficLight
Action	entry / stopAL	1	stopAL(segment.location) called on transition to StoppedAtTrafficLight
Transition	stopped (ApproachingRedLight ⇒ AtRedTrafficLight)	0	No separate approaching and stopped states for traffic light
State	AtRedTrafficLight	1	StoppedAtTrafficLight state represents waiting at red light
Transition	green (AtRedTrafficLight ⇒ StopNotRequired)	0.5	lightTurnedGreen transition from StoppedAtTrafficLight to Moving exists but no StopNotRequired state
State	ApproachingStation	0	No ApproachingStation state; stopping handled directly in StoppedAtStation
Action	entry / stopAL	1	stopAL(segment.location) called on transition to StoppedAtStation
Transition	stopped (ApproachingStation ⇒ AtStation)	0	No separate approaching and stopped states for station
History State	History State for TrainMovement	1	History state H exists within Moving composite state
State	Emergency	1	EmergencyStopped state represents emergency condition
Transition	emergency (TrainMovement ⇒ Emergency)	1	obstructionDetected transition from Moving to EmergencyStopped
Action	eStop;	1	eStop() action on Moving→EmergencyStopped transition
Transition	clear (Emergency ⇒ History State)	1	cleared transition from EmergencyStopped to H history state
Region	SDS	1	SDS region exists with correct structure
State	Initial state (SDS → SDSActive)	1	Initial state correctly points to SDSActive
State	SDSActive	1	SDSActive state exists
Transition	after 1 sec (SDSActive ⇒ SDSActive)	1	after1sec self-transition on SDSActive exists
Guard	[hasSegmentChanged()]	0.5	No explicit guard shown but checkSegment() action implies segment checking
