Type,Element,Grading,Notes
Composite State,"DishwasherOn",0.5,Overall dishwasher is not modeled as one composite with coordinated door and washer behavior
Region,"Door",0.5,Door behavior is only embedded in drying and lock actions rather than modeled as its own region
State,"initial state (⇒ Closed)",0,No explicit initial door state to Closed is shown
State,"Closed",0,Closed door state is not explicitly represented
Transition,"open (Closed ⇒ Open)",0.5,Opening is represented only from Drying to DoorOpen
Transition,"lock (Closed ⇒ Locked)",0.5,Door locking is an action on start but not a door state transition
State,"Open",0.5,DoorOpen represents an open door during drying only
Transition,"close (Open ⇒ Closed)",0.5,Closing is modeled as DoorOpen to Drying but not to a Closed door state
State,"Locked",0.5,Locked condition is implied by lockDoor during active washing but no locked state exists
Transition,"unlock (Locked ⇒ Closed)",0.5,Unlocking occurs before drying but not as a door region transition
Region,"Washer",1,Main washer process is represented by Idle and ProgramActive behavior
State,"initial state",1,Top level initial transition goes to Idle
Transition,"r =1; dT=20; (initial state ⇒ Idle)",0.5,Initial Idle is present but default repetitions and drying time are not initialized
State,"Idle",1,Idle state is present
Transition,"selectProgram(n) (Idle ⇒ Idle)",0,No program selection transition is modeled
Guard,"[n ≥ 1]",0,No guard for valid program selection is modeled
Action,"r = n;",0,No action stores the selected program repetition count
Transition,"toggleDryingTime (Idle ⇒ Idle)",1,Idle supports changing drying time using extend and reduce events
Action,"if dT = 20 then dT = 40 else dT = 20;",1,Separate actions set drying time to 40 or back to 20
Transition,"start (Idle ⇒ Cleaning)",1,Start moves from Idle into the washing process
Guard,"[door.isClosed()]",0,Start has no condition requiring the door to be closed
Action,"door.lock(); c = 1;",0.5,Door is locked on start but cycle counter initialization is missing
Composite State,"Cleaning",1,WashCycle composite represents the cleaning phase
State,"initial state (⇒ Intake)",1,WashCycle initial state goes to WaterIntake
State,"Intake",1,WaterIntake state represents intake
Transition,"Intake ⇒ Washing",1,WaterIntake transitions to Washing after intake completes
State,"Washing",1,Washing state is present
Transition,"after 10 min (Washing ⇒ Drain)",1,Washing transitions to Draining after 10 minutes
State,"Drain",1,Draining state is present
Guard,"[c < r]",1,cyclesRemaining greater than zero represents more cycles to run
Transition,"Drain ⇒ Intake",1,Draining loops back to WaterIntake for more cycles
Action,"c++",1,decrementCycles is an equivalent countdown update for remaining cycles
Transition,"(Drain ⇒ end state)",1,Final drain exits cleaning to Drying when cycles are complete
Guard,"[c ≥ r]",1,cyclesRemaining equal to zero represents all cycles completed
History State,"History State for Cleaning",0,No history state is modeled for returning to the current cleaning substate
Transition,"toggleDryingTime (Cleaning ⇒ History State)",1,Drying time can be changed during WashCycle without leaving the cleaning phase in intent
Action,"if dT = 20 then dT = 40 else dT = 20;",1,WashCycle has actions to set drying time to 40 or 20 before drying
Transition,"Cleaning ⇒ Drying",1,Draining transitions to Drying after the last cycle
Action,"door.unlock();",1,unlockDoor is performed when entering drying
State,"Drying",1,Drying state is present
Transition,"after dT min (Drying ⇒ Idle)",0.5,Drying ends to Idle but the transition is not timed by the selected drying duration
Transition,"extend DryingTime (Drying ⇒ Drying)",1,Drying has an extendDrying self transition
Action,"dT = 40;",1,extendDrying sets the drying time to 40
Transition,"open (Drying ⇒ Suspended)",1,Opening the door during drying moves to DoorOpen and suspends drying
State,"Suspended",1,DoorOpen represents suspended drying
Transition,"close (Suspended ⇒ Drying)",1,Closing the door resumes drying
Transition,"after 5 min (Suspended ⇒ Idle)",1,DoorOpen transitions to Idle after 5 minutes
State,"additional elements",0,No fundamentally incorrect extra states
Transition,"additional elements",0,No fundamentally incorrect extra transitions
Guard,"additional elements",0,No fundamentally incorrect extra guards
Action,"additional elements",0,No fundamentally incorrect extra actions
Composite State,"additional elements",0,No fundamentally incorrect extra composite states
Region,"additional elements",0,No fundamentally incorrect extra regions
History State,"additional elements",0,No fundamentally incorrect extra history states
