Type,Element,Grading,Notes
Composite State,"DishwasherOn",0,No overall composite state for the dishwasher
Region,"Door",0,No parallel region for the door
State,"initial state (⇒ Closed)",0,No initial state for door
State,"Closed",0,No explicit Closed state
Transition,"open (Closed ⇒ Open)",0,No explicit open transition from Closed
Transition,"lock (Closed ⇒ Locked)",0,Handled as an action rather than a state transition
State,"Open",0.5,DoorOpen state exists but only during the drying phase
Transition,"close (Open ⇒ Closed)",0.5,Close transition exists but goes directly to Drying
State,"Locked",0,No explicit Locked state
Transition,"unlock (Locked ⇒ Closed)",0,Handled as an action rather than a state transition
Region,"Washer",0,No parallel region for washer
State,"initial state",1,Initial state to Idle is present
Transition,"r =1; dT=20; (initial state ⇒ Idle)",0,Missing initialization actions
State,"Idle",1,Idle state is present
Transition,"selectProgram(n) (Idle ⇒ Idle)",0,Missing selectProgram transition
Guard,"[n ≥ 1]",0,Missing guard for selectProgram
Action,"r = n;",0,Missing action for selectProgram
Transition,"toggleDryingTime (Idle ⇒ Idle)",1,Represented by extendDrying and reduceDrying transitions
Action,"if dT = 20 then dT = 40 else dT = 20;",1,Represented by explicit setDryingTime actions
Transition,"start (Idle ⇒ Cleaning)",1,Start transition to ProgramActive is present
Guard,"[door.isClosed()]",0,Missing door.isClosed guard on start transition
Action,"door.lock(); c = 1;",0.5,lockDoor action is present but missing cycle initialization
Composite State,"Cleaning",1,Represented by WashCycle composite state
State,"initial state (⇒ Intake)",1,Initial state to WaterIntake is present
State,"Intake",1,WaterIntake state is present
Transition,"Intake ⇒ Washing",1,Transition to Washing is present
State,"Washing",1,Washing state is present
Transition,"after 10 min (Washing ⇒ Drain)",1,Transition to Draining after 10 min is present
State,"Drain",1,Draining state is present
Guard,"[c < r]",1,Guard for remaining cycles is present
Transition,"Drain ⇒ Intake",1,Transition back to WaterIntake is present
Action,"c++",1,Represented by decrementCycles action
Transition,"(Drain ⇒ end state)",1,Transition to Drying when cycles are complete is present
Guard,"[c ≥ r]",1,Guard for zero remaining cycles is present
History State,"History State for Cleaning",0,Missing history state
Transition,"toggleDryingTime (Cleaning ⇒ History State)",0.5,Transitions exist on WashCycle but do not use a history state
Action,"if dT = 20 then dT = 40 else dT = 20;",1,Represented by explicit setDryingTime actions
Transition,"Cleaning ⇒ Drying",1,Transition from Draining to Drying is present
Action,"door.unlock();",1,unlockDoor action is present
State,"Drying",1,Drying state is present
Transition,"after dT min (Drying ⇒ Idle)",0.5,Transition to Idle exists but lacks the specific time condition
Transition,"extend DryingTime (Drying ⇒ Drying)",1,extendDrying transition is present
Action,"dT = 40;",1,setDryingTime(40) action is present
Transition,"open (Drying ⇒ Suspended)",1,Transition to DoorOpen is present
State,"Suspended",1,Represented by DoorOpen state
Transition,"close (Suspended ⇒ Drying)",1,Transition back to Drying is present
Transition,"after 5 min (Suspended ⇒ Idle)",1,Transition to Idle after 5 min is present
State,"additional elements",0,No incorrect additional states
Transition,"additional elements",0,No incorrect additional transitions
Guard,"additional elements",0,No incorrect additional guards
Action,"additional elements",0,No incorrect additional actions
Composite State,"additional elements",0,No incorrect additional composite states
Region,"additional elements",0,No incorrect additional regions
History State,"additional elements",0,No incorrect additional history states
