Type,Element,Grading,Notes
State,"Initial state (→ Scheduled)",1,Correctly represented
State,"Scheduled",1,Represented by Inactive state
Transition,"at beginningStopDuration (Scheduled ⇒ Active)",1,Correctly represented
Action,"pOn; setCS;",1,Correctly represented
Composite State,"Active",1,Correctly represented
Region,"TrainControl",1,Represented by Operation region
Composite State,"TrainMovement",1,Represented by Journey state
State,"Initial state (TrainMovement → AtStation)",1,Correctly represented
State,"AtStation",1,Represented by multiple station dwelling states
Action,"entry / openDoors()",1,Represented as transition actions
Action,"exit / closeDoors()",1,Represented as transition actions
Transition,"after stopDuration (AtStation ⇒ StopNotRequired)",1,Correctly represented
Guard,"[!isLastStop()]",1,Implicit in state separation
Transition,"after stopDuration (AtStation ⇒ Arrived)",1,Correctly represented
Guard,"[isLastStop()]",1,Implicit in state separation
Action,"pOff;",1,Correctly represented
State,"StopNotRequired",1,Represented by Running state
Action,"entry / setSpeed()",1,Represented as transition actions
Transition,"enteringSegment (StopNotRequired ⇒ StopNotRequired)",1,Correctly represented
Guard,"[isRegularSegment()]",1,Correctly represented
Transition,"enteringSegment (StopNotRequired ⇒ ApproachingRedLight)",1,Correctly represented
Guard,"[isTrafficLightSegment() && isRed()]",1,Correctly represented
Transition,"enteringSegment (StopNotRequired ⇒ StopNotRequired)",1,Correctly represented
Guard,"[isTrafficLightSegment() && !isRed()]",1,Correctly represented
Transition,"enteringSegment (StopNotRequired ⇒ ApproachingStation)",1,Correctly represented
Guard,"[isStationSegment() && stopRequired()]",1,Correctly represented
State,"ApproachingRedLight",1,Represented by StoppingAtRedLight
Action,"entry / stopAL",1,Represented as transition action
Transition,"stopped (ApproachingRedLight ⇒ AtRedTrafficLight)",1,Correctly represented
State,"AtRedTrafficLight",1,Represented by WaitingAtRedLight
Transition,"green (AtRedTrafficLight ⇒ StopNotRequired)",1,Correctly represented
State,"ApproachingStation",1,Represented by StoppingAtStation
Action,"entry / stopAL",1,Represented as transition action
Transition,"stopped (ApproachingStation ⇒ AtStation)",1,Correctly represented
History State,"History State for TrainMovement",1,Correctly represented
State,"Emergency",1,Represented by EmergencyStopped
Transition,"emergency (TrainMovement ⇒ Emergency)",1,Correctly represented
Action,"eStop;",1,Correctly represented
Transition,"clear (Emergency ⇒ History State)",1,Correctly represented
Region,"SDS",1,Represented by SegmentDetection
State,"Initial state (SDS → SDSActive)",1,Correctly represented
State,"SDSActive",1,Represented by MonitoringSegment
Transition,"after 1 sec (SDSActive ⇒ SDSActive)",1,Correctly represented
Guard,"[hasSegmentChanged()]",1,Correctly represented
Action,"setCS; enteringSegment()",1,Correctly represented
Transition,"after 1 sec (SDSActive ⇒ SDSActive)",1,Correctly represented
Guard,"[!hasSegmentChanged()]",1,Correctly represented
Region,"MDS",1,Represented by MovementDetection
State,"Initial state (MDS → Stopped)",1,Correctly represented
State,"Stopped",1,Correctly represented
Transition,"after 1 sec (Stopped ⇒ Moving)",1,Correctly represented
Guard,"[speed > 0]",1,Correctly represented
Transition,"after 1 sec (Stopped ⇒ Stopped)",1,Correctly represented
Guard,"[speed == 0]",1,Correctly represented
Action,"stopped()",0,Not present on Stopped to Stopped transition
State,"Moving",1,Correctly represented
Transition,"after 1 sec (Moving ⇒ Stopped)",1,Correctly represented
Guard,"[speed == 0]",1,Correctly represented
Action,"stopped()",1,Correctly represented
Transition,"after 1 sec (Moving ⇒ Moving)",1,Correctly represented
Guard,"[speed > 0]",1,Correctly represented
Region,"ODS",1,Represented by ObstructionDetection
State,"Initial state (ODS → ODSActive)",1,Correctly represented
State,"ODSActive",1,Represented by TracksClear and TracksObstructed
Transition,"after 1 sec (ODSActive ⇒ ODSActive)",1,Correctly represented
Guard,"[obstacleDetected()]",1,Correctly represented
Action,"emergency()",1,Correctly represented
Transition,"after 1 sec (ODSActive ⇒ ODSActive)",1,Correctly represented
Guard,"[!obstacleDetected()]",1,Correctly represented
State,"Arrived",1,Represented by returning to Inactive state
State,"additional elements",0,Reasonable state splitting
Transition,"additional elements",0,Reasonable transitions
Guard,"additional elements",0,No unnecessary guards
Action,"additional elements",0,No unnecessary actions
Composite State,"additional elements",0,No unnecessary composite states
Region,"additional elements",0,No unnecessary regions
History State,"additional elements",0,No unnecessary history states
