approach,model_element,examples,precision,recall,f1
one-stage,Composite State,7,1.0,0.8809523809476191,0.926406926412987
one-stage,State,7,1.0,0.7655620523346948,0.86137193437853
one-stage,Transition,7,1.0,0.664126001272269,0.7877856852956925
one-stage,Action,7,1.0,0.5257936507944444,0.6781103720229121
one-stage,Region,7,1.0,0.625,0.8888888889
one-stage,History State,7,1.0,0.42857142857142855,1.0
one-stage,Guard,7,1.0,0.5501700680224489,0.7645343232797225
one-stage,Overall Score,7,1.0,0.66493490471733,0.7907300375775952
two-stage (6 examples),Composite State,9,1.0,0.8518518518555556,0.975
two-stage (6 examples),State,9,1.0,0.8696190791873303,0.9252391518154446
two-stage (6 examples),Transition,9,1.0,0.8862676438825398,0.9181970657789174
two-stage (6 examples),Action,9,1.0,0.7392361111125,0.8168645215632653
two-stage (6 examples),Region,9,1.0,0.9,0.93333333334
two-stage (6 examples),History State,9,0.8666666666599999,0.6666666666666666,0.9
two-stage (6 examples),Guard,9,1.0,0.7559523809555555,0.8894819466204081
two-stage (6 examples),Overall Score,9,0.9973386560222222,0.8329705781262786,0.9027605792366901
