project,file,llm_grader,category,weighted_cohens_kappa,raw_value,note
Automatic-Bread-Maker,Automatic-Bread-Maker_Grading_1-stage_2026-02-28_3-examples_CombinedHumanGradingVsClaude4.5SonnetAutoGrading_Claude4.5SonnetGeneration.xlsx,Claude4.5Sonnet,Global,0.7674418604651163,0.7674418604651163,
Automatic-Bread-Maker,Automatic-Bread-Maker_Grading_1-stage_2026-02-28_3-examples_CombinedHumanGradingVsClaude4.5SonnetAutoGrading_Claude4.5SonnetGeneration.xlsx,Claude4.5Sonnet,State,0.5517241379310345,0.5517241379310345,
Automatic-Bread-Maker,Automatic-Bread-Maker_Grading_1-stage_2026-02-28_3-examples_CombinedHumanGradingVsClaude4.5SonnetAutoGrading_Claude4.5SonnetGeneration.xlsx,Claude4.5Sonnet,Transition,0.7747035573122529,0.7747035573122529,
Automatic-Bread-Maker,Automatic-Bread-Maker_Grading_1-stage_2026-02-28_3-examples_CombinedHumanGradingVsClaude4.5SonnetAutoGrading_Claude4.5SonnetGeneration.xlsx,Claude4.5Sonnet,Composite State,1.0,1,
Automatic-Bread-Maker,Automatic-Bread-Maker_Grading_1-stage_2026-02-28_3-examples_CombinedHumanGradingVsClaude4.5SonnetAutoGrading_Claude4.5SonnetGeneration.xlsx,Claude4.5Sonnet,Guard,0.5454545454545454,0.5454545454545454,
Automatic-Bread-Maker,Automatic-Bread-Maker_Grading_1-stage_2026-02-28_3-examples_CombinedHumanGradingVsClaude4.5SonnetAutoGrading_Claude4.5SonnetGeneration.xlsx,Claude4.5Sonnet,Action,0.8135593220338982,0.8135593220338982,
Automatic-Bread-Maker,Automatic-Bread-Maker_Grading_1-stage_2026-02-28_3-examples_CombinedHumanGradingVsClaude4.5SonnetAutoGrading_Claude4.5SonnetGeneration.xlsx,Claude4.5Sonnet,History State,,#DIV/0!,undefined (division by zero)
Automatic-Bread-Maker,Automatic-Bread-Maker_Grading_1-stage_2026-02-28_3-examples_CombinedHumanGradingVsClaude4.5SonnetAutoGrading_Claude4.5SonnetGeneration.xlsx,Claude4.5Sonnet,Region,,#DIV/0!,undefined (division by zero)
Automatic-Bread-Maker,Automatic-Bread-Maker_Grading_2-stage_2026-03-03_3-examples_CombinedHumanGradingVsClaude4.5SonnetAutoGrading_Claude4.5SonnetGeneration.xlsx,Claude4.5Sonnet,Global,0.8833097595473833,0.8833097595473833,
Automatic-Bread-Maker,Automatic-Bread-Maker_Grading_2-stage_2026-03-03_3-examples_CombinedHumanGradingVsClaude4.5SonnetAutoGrading_Claude4.5SonnetGeneration.xlsx,Claude4.5Sonnet,State,1.0,1,
