Type	Element	Grading	Notes
State	Initial state (→ Active)	0	Student model does not have an 'Active' composite state; instead uses 'Shopping' as the main composite state.
Composite State	Active	0	Student uses 'Shopping' as the main composite state instead of 'Active', but the concept is similar.
State	Initial state (Active → Ready)	1	Student has initial state within Shopping composite state transitioning to Ready.
State	Ready	1	Ready state is present within the Shopping composite state.
Transition	scannedNr (Ready ⇒ Ready)	1	Transition 'scanBarcode [!exists] / showError()' from Ready to Ready represents this behavior.
Guard	[!existsNr()]	1	Guard [!exists] on scanBarcode transition captures the non-existent barcode check.
Action	error()	1	Action showError() is semantically equivalent to error().
Transition	productCodeEntered (Ready ⇒ Ready)	1	Transition 'enterProductCode [!exists] / showError()' from Ready to Ready represents this behavior.
Guard	[!existsCode()]	1	Guard [!exists] on enterProductCode transition captures the non-existent code check.
Action	error()	1	Action showError() is semantically equivalent to error().
Transition	productCodeEntered (Ready ⇒ WeighItem)	1	Transition 'enterProductCode [exists]' from Ready to WeighingItem represents this behavior.
Guard	[existsCode()]	1	Guard [exists] on enterProductCode transition captures the valid code check.
Transition	scannedNr (Ready ⇒ CheckWeight)	1	Transition 'scanBarcode [exists] / showItem()' from Ready to SecurityCheck represents this behavior.
Guard	[existsNr()]	1	Guard [exists] on scanBarcode transition captures the valid barcode check.
Action	addItem()	1	Action showItem() represents adding and displaying the item, capturing the intended behavior.
Transition	cancelCheckout (Ready ⇒ Override)	1	Transition 'cancelAll' from Ready to CancelAllOverride represents this behavior.
Action	setTypeEverything()	0	Student model does not explicitly set a type variable; uses separate override states instead.
Transition	removeItem (Ready ⇒ Override)	1	Transition 'removeItem [billNotEmpty]' from Ready to RemoveItemOverride represents this behavior.
Guard	[billHasItem()]	1	Guard [billNotEmpty] is semantically equivalent to billHasItem().
Action	setTypeItem()	0	Student model does not explicitly set a type variable; uses separate override states instead.
Transition	broughtOwnBag (Ready ⇒ WeighBag)	1	Transition 'addBag' from Ready to WeighingBag represents this behavior.
Transition	pay (Ready ⇒ PayRequested)	1	Transition 'pay [billNotEmpty] / sendPaymentRequest()' from Ready to Payment represents this behavior.
Guard	[billHasItem()]	1	Guard [billNotEmpty] is semantically equivalent to billHasItem().
Action	sendPaymentRequest()	1	Action sendPaymentRequest() is present on the pay transition.
State	WeighItem	1	WeighingItem state is present in the Shopping composite state.
Transition	cancel (WeighItem ⇒ Ready)	1	Transition 'cancel' from WeighingItem to Ready is present.
Transition	weighedItem (WeighItem ⇒ CheckWeight)	1	Transition 'weightReceived / showItemAndWeight()' from WeighingItem to SecurityCheck represents this behavior.
Action	addWeighedItem()	1	Action showItemAndWeight() captures adding the weighed item with its weight.
State	CheckWeight	1	SecurityCheck state represents the weight checking behavior.
Transition	secWeighedItem (CheckWeight ⇒ Ready)	1	Transition 'weightReceived [matches]' from SecurityCheck to Ready represents this behavior.
Guard	[weightMatched()]	1	Guard [matches] is semantically equivalent to weightMatched().
Transition	secWeighedItem (CheckWeight ⇒ Override)	1	Transition 'weightReceived [!matches]' from SecurityCheck to WeightMismatchOverride represents this behavior.
Guard	[!weightMatched()]	1	Guard [!matches] is semantically equivalent to !weightMatched().
Action	setTypeItem()	0	Student model does not explicitly set a type variable; uses separate override states instead.
Transition	cancelCheckout (CheckWeight ⇒ Override)	1	Transition 'cancelAll' from SecurityCheck to CancelAllOverride represents this behavior.
Action	setTypeEverything()	0	Student model does not explicitly set a type variable; uses separate override states instead.
