Type,Element,Grading,Notes
State,"Initial state (→ Scheduled)",0,Initial state goes to Off rather than a scheduled pre-departure state
State,"Scheduled",0,No state represents the train being scheduled before activation
Transition,"at beginningStopDuration (Scheduled ⇒ Active)",0.5,There is an Off to On activation but it is triggered by powerOn rather than the beginning of the scheduled stop duration
Action,"pOn; setCS;",1,pOn occurs on activation and setCS is performed on entry to the first-station waiting state
Composite State,"Active",1,On acts as the active composite containing train behavior and the monitoring systems
Region,"TrainControl",1,Journey region captures the main train control behavior
Composite State,"TrainMovement",0.5,Normal journey behavior is modeled but not as a clear movement composite with emergency outside it
State,"Initial state (TrainMovement → AtStation)",0.5,Initial journey state is WaitingAtFirstStation which partly corresponds to being at the first station
State,"AtStation",1,StoppedAtStation and related station states represent station stops
Action,"entry / openDoors()",0.5,Doors open for intermediate and final station states but not for the initial first-station wait
Action,"exit / closeDoors()",0.5,Doors are closed before leaving intermediate stations but not modeled for leaving the first station
Transition,"after stopDuration (AtStation ⇒ StopNotRequired)",1,Intermediate station stop duration leads back to moving with speed set
Guard,"[!isLastStop()]",1,Non-final station behavior is separated using a not finalStation guard
Transition,"after stopDuration (AtStation ⇒ Arrived)",0.5,Final station stop duration leads to power off but no distinct arrived state is reached
Guard,"[isLastStop()]",1,Final station behavior is selected with a finalStation guard
Action,"pOff;",1,pOff is executed after the final station stop duration
State,"StopNotRequired",1,Moving represents travel when no stop is currently required
Action,"entry / setSpeed()",1,Speed is set when leaving stations or lights and when entering speed-setting segments
Transition,"enteringSegment (StopNotRequired ⇒ StopNotRequired)",1,Regular segment entry keeps the train moving and sets segment speed
Guard,"[isRegularSegment()]",1,Regular segment guard is present
Transition,"enteringSegment (StopNotRequired ⇒ ApproachingRedLight)",0.5,Red light entry initiates stopAL but jumps directly to a stopped-at-light state
Guard,"[isTrafficLightSegment() && isRed()]",1,Traffic light red guard is present
Transition,"enteringSegment (StopNotRequired ⇒ StopNotRequired)",1,Non-red traffic light segment keeps the train moving with speed set
Guard,"[isTrafficLightSegment() && !isRed()]",1,Traffic light not red guard is present
Transition,"enteringSegment (StopNotRequired ⇒ ApproachingStation)",0.5,Station entry initiates a stop but goes directly to station stopped states and lacks a general stopRequired condition
