approach,project,model_element,precision,recall,f1
one-stage,Automatic Bread Maker,Composite State,1.0,0.8333333333,0.9090909091
one-stage,Automatic Bread Maker,State,1.0,0.875,0.9333333333
one-stage,Automatic Bread Maker,Transition,1.0,0.8611111111,0.9253731343
one-stage,Automatic Bread Maker,Action,1.0,0.5,0.6666666667
one-stage,Automatic Bread Maker,Region,,,
one-stage,Automatic Bread Maker,History State,,0.0,
one-stage,Automatic Bread Maker,Guard,1.0,0.75,0.8571428571
one-stage,Automatic Bread Maker,Overall Score,1.0,0.7604166667,0.8639053254
two-stage (3 examples),Automatic Bread Maker,Composite State,1.0,1.0,1.0
two-stage (3 examples),Automatic Bread Maker,State,1.0,0.6666666667,0.8
two-stage (3 examples),Automatic Bread Maker,Transition,1.0,0.6944444444,0.8196721311
two-stage (3 examples),Automatic Bread Maker,Action,1.0,0.7,0.8235294118
two-stage (3 examples),Automatic Bread Maker,Region,,,
two-stage (3 examples),Automatic Bread Maker,History State,,0.0,
two-stage (3 examples),Automatic Bread Maker,Guard,1.0,1.0,1.0
two-stage (3 examples),Automatic Bread Maker,Overall Score,1.0,0.71875,0.8363636364
two-stage (6 examples),Automatic Bread Maker,Composite State,1.0,0.6666666667,0.8
two-stage (6 examples),Automatic Bread Maker,State,1.0,0.6666666667,0.8
two-stage (6 examples),Automatic Bread Maker,Transition,1.0,0.7777777778,0.875
two-stage (6 examples),Automatic Bread Maker,Action,1.0,0.9,0.9473684211
two-stage (6 examples),Automatic Bread Maker,Region,,,
two-stage (6 examples),Automatic Bread Maker,History State,,0.0,
two-stage (6 examples),Automatic Bread Maker,Guard,1.0,1.0,1.0
two-stage (6 examples),Automatic Bread Maker,Overall Score,1.0,0.7708333333,0.8705882353
one-stage,Digital Chess Clock,Composite State,1.0,0.8333333333,0.9090909091
one-stage,Digital Chess Clock,State,1.0,0.5769230769,0.7317073171
one-stage,Digital Chess Clock,Transition,1.0,0.75,0.8571428571
one-stage,Digital Chess Clock,Action,1.0,0.375,0.5454545455
one-stage,Digital Chess Clock,Region,,0.0,
one-stage,Digital Chess Clock,History State,,1.0,
one-stage,Digital Chess Clock,Guard,,0.0,
one-stage,Digital Chess Clock,Overall Score,1.0,0.5444444444,0.7050359712
two-stage (3 examples),Digital Chess Clock,Composite State,1.0,1.0,1.0
two-stage (3 examples),Digital Chess Clock,State,1.0,0.8461538461538461,0.9166666666666666
two-stage (3 examples),Digital Chess Clock,Transition,0.9230769230769231,0.8571428571428571,0.888888888888889
two-stage (3 examples),Digital Chess Clock,Action,1.0,1.0,1.0
two-stage (3 examples),Digital Chess Clock,Region,1.0,0.75,0.8571428571428571
two-stage (3 examples),Digital Chess Clock,History State,,1.0,
two-stage (3 examples),Digital Chess Clock,Guard,1.0,1.0,1.0
two-stage (3 examples),Digital Chess Clock,Overall Score,0.9759036144578314,0.9,0.9364161849710982
two-stage (6 examples),Digital Chess Clock,Composite State,1.0,1.0,1.0
two-stage (6 examples),Digital Chess Clock,State,1.0,0.8846153846,0.9387755102
two-stage (6 examples),Digital Chess Clock,Transition,1.0,0.8571428571,0.9230769231
two-stage (6 examples),Digital Chess Clock,Action,1.0,1.0,1.0
two-stage (6 examples),Digital Chess Clock,Region,1.0,1.0,1.0
two-stage (6 examples),Digital Chess Clock,History State,,1.0,
two-stage (6 examples),Digital Chess Clock,Guard,1.0,1.0,1.0
two-stage (6 examples),Digital Chess Clock,Overall Score,1.0,0.9222222222,0.9595375723
one-stage,Dishwasher,Composite State,1.0,1.0,1.0
one-stage,Dishwasher,State,1.0,0.6666666667,0.8
one-stage,Dishwasher,Transition,1.0,0.5789473684,0.7333333333
one-stage,Dishwasher,Action,1.0,0.5714285714,0.7272727273
one-stage,Dishwasher,Region,1.0,0.5,0.6666666667
one-stage,Dishwasher,History State,,0.0,
one-stage,Dishwasher,Guard,1.0,0.625,0.7692307692
one-stage,Dishwasher,Overall Score,1.0,0.6063829787,0.7549668874
two-stage (3 examples),Dishwasher,Composite State,0.6666666667,1.0,0.8
two-stage (3 examples),Dishwasher,State,1.0,1.0,1.0
two-stage (3 examples),Dishwasher,Transition,1.0,0.9736842105,0.9866666667
two-stage (3 examples),Dishwasher,Action,1.0,0.8571428571,0.9230769231
two-stage (3 examples),Dishwasher,Region,1.0,1.0,1.0
two-stage (3 examples),Dishwasher,History State,1.0,0.5,0.6666666667
two-stage (3 examples),Dishwasher,Guard,1.0,0.875,0.9333333333
two-stage (3 examples),Dishwasher,Overall Score,0.978021978,0.9468085106,0.9621621622
two-stage (6 examples),Dishwasher,Composite State,1.0,1.0,1.0
two-stage (6 examples),Dishwasher,State,1.0,0.6666666667,0.8
two-stage (6 examples),Dishwasher,Transition,1.0,0.7105263158,0.8307692308
two-stage (6 examples),Dishwasher,Action,1.0,0.7857142857,0.88
two-stage (6 examples),Dishwasher,Region,1.0,0.5,0.6666666667
two-stage (6 examples),Dishwasher,History State,,0.0,
two-stage (6 examples),Dishwasher,Guard,1.0,0.625,0.7692307692
two-stage (6 examples),Dishwasher,Overall Score,1.0,0.6914893617,0.8176100629
one-stage,Printer,Composite State,1.0,0.5,0.6666666667
one-stage,Printer,State,1.0,0.7777777778,0.875
one-stage,Printer,Transition,1.0,0.5294117647,0.6923076923
one-stage,Printer,Action,1.0,0.6666666667,0.8
one-stage,Printer,Region,,,
one-stage,Printer,History State,1.0,1.0,1.0
one-stage,Printer,Guard,1.0,0.5833333333,0.7368421053
one-stage,Printer,Overall Score,1.0,0.6184210526,0.7642276423
two-stage (3 examples),Printer,Composite State,0.5,1.0,0.6666666667
two-stage (3 examples),Printer,State,0.6666666667,1.0,0.8
two-stage (3 examples),Printer,Transition,1.0,1.0,1.0
two-stage (3 examples),Printer,Action,1.0,1.0,1.0
