Type,Element,Grading,Notes
State,"Initial state (→ Active)",1,Represented as [*] --> Shopping where Shopping is the main composite state equivalent to Active
Composite State,"Active",1,Represented by Shopping composite state which contains all main operational substates
State,"Initial state (Active → Ready)",1,Represented as [*] --> ReadyForNextItem within Shopping composite state
State,"Ready",1,Represented as ReadyForNextItem state
Transition,"scannedNr (Ready ⇒ Ready)",1,Represented as barcodeScanned(code) [!barcodeExists(code)] / showError() self-transition on ReadyForNextItem
Guard,"[!existsNr()]",1,Represented as [!barcodeExists(code)] guard condition
Action,"error()",1,Represented as showError() action
Transition,"productCodeEntered (Ready ⇒ Ready)",1,Represented as productCodeEntered(code) [!productCodeExists(code)] / showError() self-transition
Guard,"[!existsCode()]",1,Represented as [!productCodeExists(code)] guard condition
Action,"error()",1,Represented as showError() action
Transition,"productCodeEntered (Ready ⇒ WeighItem)",1,Represented as productCodeEntered(code) [productCodeExists(code)] / requestItemWeight(code) to WeighingProductCodeItem
Guard,"[existsCode()]",1,Represented as [productCodeExists(code)] guard condition
Transition,"scannedNr (Ready ⇒ CheckWeight)",1,Represented as barcodeScanned(code) [barcodeExists(code)] / showItem(code) to AwaitingSecurityCheck
Guard,"[existsNr()]",1,Represented as [barcodeExists(code)] guard condition
Action,"addItem()",1,Represented as showItem(code) which displays the item after adding it
Transition,"cancelCheckout (Ready ⇒ Override)",1,Represented as cancelEverything transition from ReadyForNextItem to OverrideClearAll
Action,"setTypeEverything()",1,Represented by routing to OverrideClearAll substate which handles clearing everything
Transition,"removeItem (Ready ⇒ Override)",1,Represented as removeItem transition from ReadyForNextItem to OverrideClearItem
Guard,"[billHasItem()]",1,Represented as [billHasItems()] guard condition
Action,"setTypeItem()",1,Represented by routing to OverrideClearItem substate which handles clearing a single item
Transition,"broughtOwnBag (Ready ⇒ WeighBag)",1,Represented as ownBags transition from ReadyForNextItem to WeighingBag
Transition,"pay (Ready ⇒ PayRequested)",1,Represented as pay transition from ReadyForNextItem to PaymentProcessing
Guard,"[billHasItem()]",1,Represented as [billHasItems()] guard condition
Action,"sendPaymentRequest()",1,Represented as entry action in PaymentProcessing state note
State,"WeighItem",1,Represented as WeighingProductCodeItem state
Transition,"cancel (WeighItem ⇒ Ready)",1,Represented as cancel transition from WeighingProductCodeItem to ReadyForNextItem
Transition,"weighedItem (WeighItem ⇒ CheckWeight)",1,Represented as itemWeightReceived(weight) transition from WeighingProductCodeItem to AwaitingSecurityCheck
Action,"addWeighedItem()",1,Represented as showItemWithWeight(weight) action which displays the weighed item
State,"CheckWeight",1,Represented as AwaitingSecurityCheck state
Transition,"secWeighedItem (CheckWeight ⇒ Ready)",1,Represented as securityWeightReceived(weight) [weightMatches(weight)] transition from AwaitingSecurityCheck to ReadyForNextItem
Guard,"[weightMatched()]",1,Represented as [weightMatches(weight)] guard condition
Transition,"secWeighedItem (CheckWeight ⇒ Override)",1,Represented as securityWeightReceived(weight) [!weightMatches(weight)] transition from AwaitingSecurityCheck to OverrideClearItem
Guard,"[!weightMatched()]",1,Represented as [!weightMatches(weight)] guard condition
Action,"setTypeItem()",1,Represented by routing to OverrideClearItem substate which handles clearing a single item
Transition,"cancelCheckout (CheckWeight ⇒ Override)",1,Represented as cancelEverything transition from AwaitingSecurityCheck to OverrideClearAll
