Type	Element	Grading	Notes
State	initial state (off)	1	Represented by [*] --> Off transition
Transition	initial state (off) => off	1	Correctly shown as [*] --> Off
State	Off	1	Off state is present
Transition	off => on	1	Off --> On : onOff transition is present
Composite State	On	1	On is a composite state containing nested states
State	initial state (on)	1	Represented by [*] --> Setup within On state
Composite State	GameSetup	0.5	Setup composite state exists but lacks the parallel region structure for timing and flip functionality
Region	GameSetup Region 1	0	No explicit parallel regions defined; timing selection is in a single sequential structure
State	Initial state (region 1)	0.5	Initial state exists within TimingSelection but not as part of a parallel region
State	TimingSelection	1	TimingSelection state is present
Action	incrTimingProgram()	0	No explicit action for incrementing timing program on plus transition
Action	decrTimingProgram()	0	No explicit action for decrementing timing program on minus transition
Transition	timing selection => timing selection	1	Self-transitions for plus and minus are present in TimingSelection
Transition	game setup => ready to start	1	TimingSelection --> Ready : select transition is present
Region	GameSetup Region 2	0	No second parallel region for white king status
State	Initial state (region 2)	0	No second region with initial state
State	WhiteKingOnLeft	0	No explicit state for white king position
State	WhiteKingOnRight	0	No explicit state for white king position
Transition	initial state => white king on left	0	No such transition exists
Transition	white king on left => white king on right	0.5	Flip transitions exist in TimingSelection and Ready but not as separate king position states
Transition	white king on right => white king on left	0.5	Flip transitions exist in TimingSelection and Ready but not as separate king position states
State	ReadyToStart	1	Ready state represents the ready-to-start condition
Transition	ready to start => game running	1	Ready --> GameActive : startStop transition is present
Composite State	GameRunning	1	GameActive composite state represents the running game
History State	H	1	History state H is present in Running
State	WhiteClockRunning	1	WhiteTurn state represents white clock running
Action	startTimer(wc)	0	No explicit entry action for starting white timer
Action	stopTimer(wc)	0	No explicit exit action for stopping white timer
Guard	[wc > 0]	0	No guard condition for white clock greater than zero
Action	decrTimer(wc)	0.5	countDown() do action in Running implies decrement but not explicit per-state
Transition	white clock running => white clock running	0	No self-transition with countdown logic for WhiteTurn
State	BlackClockRunning	1	BlackTurn state represents black clock running
Action	startTimer(bc)	0	No explicit entry action for starting black timer
Action	stopTimer(bc)	0	No explicit exit action for stopping black timer
Guard	[bc > 0]	0	No guard condition for black clock greater than zero
Action	decrTimer(bc)	0.5	countDown() do action in Running implies decrement but not explicit per-state
Transition	balck clock running => black clock running	0	No self-transition with countdown logic for BlackTurn
Transition	game running => game paused	1	Running --> Paused : startStop transition is present
Transition	game running => game finished	1	WhiteTurn/BlackTurn --> GameOver transitions with time expired guards are present
Guard	[wc == 0]	1	Guard [whiteTimeExpired] on WhiteTurn --> GameOver represents this condition
Guard	[bc == 0]	1	Guard [blackTimeExpired] on BlackTurn --> GameOver represents this condition
State	GamePaused	1	Paused state is present
Transition	game paused => game running	1	Paused --> H : startStop transition resumes game via history
State	GameFinished	1	GameOver state represents game finished
Transition	on => off	1	On --> Off : onOff transition is present
State	additional elements	0	No fundamentally incorrect additional states
Transition	additional elements	0	No fundamentally incorrect additional transitions
Guard	additional elements	0	No fundamentally incorrect additional guards
Action	additional elements	0	No fundamentally incorrect additional actions
Composite State	additional elements	0	No fundamentally incorrect additional composite states
Region	additional elements	0	No fundamentally incorrect additional regions
History State	additional elements	0	No fundamentally incorrect additional history states
