Type	Element	Grading	Notes
State	initial state (⇒ TransportationMode)	1	Initial pseudostate points to TransportationMode.
State	TransportationMode	1	TransportationMode state is explicitly modeled.
Transition	selectorPressed (TransportationMode ⇒ On)	1	selectorPressed leaves transportation mode and enters On with deactivation action.
State	PreparingOff	0.5	SwitchingOff represents part of the shutdown sequence but only after the 5 second threshold.
Transition	selectorReleased (PreparingOff ⇒ On)	0	Release before shutdown does not return to On in the student model.
Transition	after 5sec (PreparingOff ⇒ Off)	0.5	The 5 second condition is modeled on entry to SwitchingOff but Off occurs only after selectorReleased.
State	Off	1	Off state is explicitly modeled.
Transition	selectorPressed (Off ⇒ On)	1	selectorPressed from Off to On is present.
Composite State	On	1	On is modeled as a composite state containing home and cooking behavior.
History State	History State for On	0	No history state is modeled for returning to the prior On substate.
Transition	selectorHeld (On ⇒ PreparingOff)	0.5	selectorHeld starts a shutdown state but only with a time guard and without early release behavior.
Transition	bowlRemoved (On ⇒ On)	1	bowlRemoved returns from Cooking to Home and also cancels shutdown warning.
State	Initial State (On ⇒ Home)	1	The initial substate of On enters HomeScreen.
State	Home	1	HomeScreen represents the home state.
Transition	after 14min 30sec (Home ⇒ Preparing Shutdown)	1	HomeScreen transitions to ShutdownWarning after 14m30s.
Transition	start (Home ⇒ PromptToAdd)	1	Start after recipe selection enters the cooking ingredient adding flow.
Guard	[!bowlRemoved()]	1	The start transition requires bowlPlaced which is equivalent to the bowl not being removed.
Action	setIngredients()	0.5	Entering AddIngredients implies ingredient handling but no explicit setIngredients action is shown.
State	Preparing Shutdown	1	ShutdownWarning represents the automatic shutdown warning state.
Transition	after 30sec (Preparing Shutdown ⇒ Off)	1	ShutdownWarning goes to Off after 30 seconds.
Transition	cancel (Preparing Shutdown ⇒ Home)	1	Cancel returns from ShutdownWarning to HomeScreen.
State	PromptToAdd	1	AddIngredients represents the ingredient prompt and weighing state.
Transition	next (PromptToAdd ⇒ PromptToAdd)	0.5	The model can return to AddIngredients for further ingredients after cooking but lacks the specified next self loop.
Guard	[weightCorrect() && moreIngredientsRequired()]	0.5	correctAmountAdded is modeled but moreIngredientsRequired is not guarded on this step.
Action	setIngredients()	0.5	Further ingredient prompting is implied by promptAddIngredients but no setIngredients action is explicit.
Transition	next (PromptToAdd ⇒ Chop)	1	AddIngredients transitions to Chopping on next when the amount is correct.
Guard	[weightCorrect() && !moreIngredientsRequired()]	0.5	The correct amount guard is present but no explicit no more ingredients condition is modeled.
Action	setChoppingSpeedAndTime()	0.5	Chopping behavior is modeled but speed and time setup is not explicit.
State	Chop	1	Chopping represents the chopping state.
Transition	next (Chop ⇒ PromptToAdd)	0	There is no transition from chopping completion back to ingredient prompting.
Guard	[choppingTimeDone && moreIngredientsRequired()]	0	The model does not guard a chop to ingredient prompt transition with these conditions.
Action	setIngredients()	0	No setIngredients action is associated with leaving Chop for more ingredients.
Transition	next (Chop ⇒ Cook)	1	After chopping completes the model waits for next and then enters CookingStep.
Guard	[choppingTimeDone && !moreIngredientsRequired()]	0.5	choppingCompleted is represented but the no more ingredients condition is not explicit.
Action	setCookingSpeedAndTime()	0.5	Cooking behavior is modeled but cooking speed and time setup is not explicit.
State	Cook	1	CookingStep represents the cooking state.
Transition	after choppingTime (Cook ⇒ PromptToAdd)	1	Cooking completion can lead through CookingDone back to AddIngredients for more ingredients.
Guard	[choppingTimeDone && moreIngredientsRequired()]	0.5	More ingredients are implied by promptAddIngredients but the full guard is not explicit.
Action	setIngredients()	0.5	Returning to AddIngredients implies prompting but no explicit setIngredients action is shown.
Transition	after cookingTime (Cook ⇒ Ready)	1	Cooking completion can lead through CookingDone to MealReady.
Guard	[!moreIngredientsRequired()]	1	lastStepCompleted is equivalent to no further ingredients being required.
State	Ready	1	MealReady represents the ready to serve state.
Transition	after 14min 30sec (Ready ⇒ Preparing Shutdown)	0	No inactivity timeout from MealReady to ShutdownWarning is modeled.
State	additional elements	0	No fundamentally incorrect extra states are present.
Transition	additional elements	0	No fundamentally incorrect extra transitions are present.
Guard	additional elements	0	No fundamentally incorrect extra guards are present.
Action	additional elements	0	No fundamentally incorrect extra actions are present.
Composite State	additional elements	0	The extra Cooking composite is a reasonable organization.
Region	additional elements	0	No extra regions are modeled.
History State	additional elements	0	No extra history states are modeled.
