grader,model_element,human_score,llm_score,count
Claude4.5Sonnet,Action,0.0,0.0,34
Claude4.5Sonnet,Action,0.0,0.5,2
Claude4.5Sonnet,Action,0.0,1.0,1
Claude4.5Sonnet,Action,0.5,0.0,3
Claude4.5Sonnet,Action,0.5,0.5,1
Claude4.5Sonnet,Action,0.5,1.0,1
Claude4.5Sonnet,Action,1.0,0.0,13
Claude4.5Sonnet,Action,1.0,0.5,20
Claude4.5Sonnet,Action,1.0,1.0,37
Claude4.5Sonnet,Composite State,0.0,0.0,8
Claude4.5Sonnet,Composite State,0.0,0.5,0
Claude4.5Sonnet,Composite State,0.0,1.0,2
Claude4.5Sonnet,Composite State,0.5,0.0,0
Claude4.5Sonnet,Composite State,0.5,0.5,1
Claude4.5Sonnet,Composite State,0.5,1.0,0
Claude4.5Sonnet,Composite State,1.0,0.0,2
Claude4.5Sonnet,Composite State,1.0,0.5,1
Claude4.5Sonnet,Composite State,1.0,1.0,17
Claude4.5Sonnet,Guard,0.0,0.0,16
Claude4.5Sonnet,Guard,0.0,0.5,0
Claude4.5Sonnet,Guard,0.0,1.0,1
Claude4.5Sonnet,Guard,0.5,0.0,3
Claude4.5Sonnet,Guard,0.5,0.5,4
Claude4.5Sonnet,Guard,0.5,1.0,0
Claude4.5Sonnet,Guard,1.0,0.0,1
Claude4.5Sonnet,Guard,1.0,0.5,10
Claude4.5Sonnet,Guard,1.0,1.0,31
Claude4.5Sonnet,History State,0.0,0.0,10
Claude4.5Sonnet,History State,0.0,0.5,0
Claude4.5Sonnet,History State,0.0,1.0,0
Claude4.5Sonnet,History State,0.5,0.0,1
Claude4.5Sonnet,History State,0.5,0.5,0
Claude4.5Sonnet,History State,0.5,1.0,0
Claude4.5Sonnet,History State,1.0,0.0,3
Claude4.5Sonnet,History State,1.0,0.5,1
Claude4.5Sonnet,History State,1.0,1.0,4
Claude4.5Sonnet,Overall Score,0.0,0.0,109
Claude4.5Sonnet,Overall Score,0.0,0.5,3
Claude4.5Sonnet,Overall Score,0.0,1.0,11
Claude4.5Sonnet,Overall Score,0.5,0.0,26
Claude4.5Sonnet,Overall Score,0.5,0.5,8
Claude4.5Sonnet,Overall Score,0.5,1.0,2
Claude4.5Sonnet,Overall Score,1.0,0.0,33
Claude4.5Sonnet,Overall Score,1.0,0.5,47
Claude4.5Sonnet,Overall Score,1.0,1.0,334
Claude4.5Sonnet,Region,0.0,0.0,11
Claude4.5Sonnet,Region,0.0,0.5,0
Claude4.5Sonnet,Region,0.0,1.0,0
Claude4.5Sonnet,Region,0.5,0.0,0
Claude4.5Sonnet,Region,0.5,0.5,0
Claude4.5Sonnet,Region,0.5,1.0,0
Claude4.5Sonnet,Region,1.0,0.0,1
Claude4.5Sonnet,Region,1.0,0.5,0
Claude4.5Sonnet,Region,1.0,1.0,12
Claude4.5Sonnet,State,0.0,0.0,12
Claude4.5Sonnet,State,0.0,0.5,1
Claude4.5Sonnet,State,0.0,1.0,5
Claude4.5Sonnet,State,0.5,0.0,8
Claude4.5Sonnet,State,0.5,0.5,1
Claude4.5Sonnet,State,0.5,1.0,0
Claude4.5Sonnet,State,1.0,0.0,7
Claude4.5Sonnet,State,1.0,0.5,2
Claude4.5Sonnet,State,1.0,1.0,96
Claude4.5Sonnet,Transition,0.0,0.0,18
Claude4.5Sonnet,Transition,0.0,0.5,0
Claude4.5Sonnet,Transition,0.0,1.0,2
Claude4.5Sonnet,Transition,0.5,0.0,11
Claude4.5Sonnet,Transition,0.5,0.5,1
Claude4.5Sonnet,Transition,0.5,1.0,1
Claude4.5Sonnet,Transition,1.0,0.0,6
Claude4.5Sonnet,Transition,1.0,0.5,13
Claude4.5Sonnet,Transition,1.0,1.0,137
GPT-5.5,Action,0.0,0.0,15
GPT-5.5,Action,0.0,0.5,21
GPT-5.5,Action,0.0,1.0,1
GPT-5.5,Action,0.5,0.0,0
GPT-5.5,Action,0.5,0.5,4
GPT-5.5,Action,0.5,1.0,1
GPT-5.5,Action,1.0,0.0,2
GPT-5.5,Action,1.0,0.5,11
GPT-5.5,Action,1.0,1.0,57
GPT-5.5,Composite State,0.0,0.0,9
GPT-5.5,Composite State,0.0,0.5,1
GPT-5.5,Composite State,0.0,1.0,0
GPT-5.5,Composite State,0.5,0.0,0
GPT-5.5,Composite State,0.5,0.5,1
GPT-5.5,Composite State,0.5,1.0,0
GPT-5.5,Composite State,1.0,0.0,0
GPT-5.5,Composite State,1.0,0.5,2
GPT-5.5,Composite State,1.0,1.0,18
GPT-5.5,Guard,0.0,0.0,14
GPT-5.5,Guard,0.0,0.5,0
GPT-5.5,Guard,0.0,1.0,3
