approach,project,model_element,n,s,tp,fp,fn,precision,recall,f1
one-stage,Automatic Bread Maker,Action,10.0,5.0,5.0,0.0,5.0,1.0,0.5,0.667
one-stage,Automatic Bread Maker,Composite State,3.0,2.5,3.0,0.0,0.0,0.833,0.833,0.833
one-stage,Automatic Bread Maker,Guard,4.0,3.0,3.0,0.0,1.0,1.0,0.75,0.857
one-stage,Automatic Bread Maker,History State,1.0,0.0,0.0,0.0,1.0,,0.0,
one-stage,Automatic Bread Maker,Region,0.0,0.0,0.0,0.0,0.0,,,
one-stage,Automatic Bread Maker,State,12.0,10.5,12.0,0.0,0.0,0.875,0.875,0.875
one-stage,Automatic Bread Maker,Transition,18.0,15.5,17.0,0.0,1.0,0.912,0.861,0.886
two-stage (3 examples),Automatic Bread Maker,Action,10.0,7.0,7.0,0.0,3.0,1.0,0.7,0.824
two-stage (3 examples),Automatic Bread Maker,Composite State,3.0,3.0,3.0,0.0,0.0,1.0,1.0,1.0
two-stage (3 examples),Automatic Bread Maker,Guard,4.0,4.0,4.0,0.0,0.0,1.0,1.0,1.0
two-stage (3 examples),Automatic Bread Maker,History State,1.0,0.0,0.0,0.0,1.0,,0.0,
two-stage (3 examples),Automatic Bread Maker,Region,0.0,0.0,0.0,0.0,0.0,,,
two-stage (3 examples),Automatic Bread Maker,State,12.0,8.0,8.0,0.0,4.0,1.0,0.667,0.8
two-stage (3 examples),Automatic Bread Maker,Transition,18.0,12.5,13.0,0.0,5.0,0.962,0.694,0.806
two-stage (6 examples),Automatic Bread Maker,Action,10.0,9.0,10.0,0.0,0.0,0.9,0.9,0.9
two-stage (6 examples),Automatic Bread Maker,Composite State,3.0,2.5,3.0,0.0,0.0,0.833,0.833,0.833
two-stage (6 examples),Automatic Bread Maker,Guard,4.0,4.0,4.0,0.0,0.0,1.0,1.0,1.0
two-stage (6 examples),Automatic Bread Maker,History State,1.0,0.5,1.0,0.0,0.0,0.5,0.5,0.5
two-stage (6 examples),Automatic Bread Maker,Region,0.0,0.0,0.0,0.0,0.0,,,
two-stage (6 examples),Automatic Bread Maker,State,12.0,10.0,12.0,0.0,0.0,0.833,0.833,0.833
two-stage (6 examples),Automatic Bread Maker,Transition,18.0,16.0,18.0,0.0,0.0,0.889,0.889,0.889
one-stage,Digital Chess Clock,Action,8.0,4.5,6.0,0.0,2.0,0.75,0.562,0.643
one-stage,Digital Chess Clock,Composite State,3.0,2.5,3.0,0.0,0.0,0.833,0.833,0.833
one-stage,Digital Chess Clock,Guard,4.0,0.0,0.0,0.0,4.0,,0.0,
one-stage,Digital Chess Clock,History State,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
one-stage,Digital Chess Clock,Region,2.0,0.0,0.0,0.0,2.0,,0.0,
one-stage,Digital Chess Clock,State,13.0,9.0,10.0,0.0,3.0,0.9,0.692,0.783
one-stage,Digital Chess Clock,Transition,14.0,9.0,10.0,0.0,4.0,0.9,0.643,0.75
two-stage (3 examples),Digital Chess Clock,Action,8.0,8.0,8.0,0.0,0.0,1.0,1.0,1.0
two-stage (3 examples),Digital Chess Clock,Composite State,3.0,3.0,3.0,0.0,0.0,1.0,1.0,1.0
two-stage (3 examples),Digital Chess Clock,Guard,4.0,4.0,4.0,0.0,0.0,1.0,1.0,1.0
two-stage (3 examples),Digital Chess Clock,History State,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
two-stage (3 examples),Digital Chess Clock,Region,2.0,1.5,2.0,0.0,0.0,0.75,0.75,0.75
two-stage (3 examples),Digital Chess Clock,State,13.0,11.0,13.0,0.0,0.0,0.846,0.846,0.846
two-stage (3 examples),Digital Chess Clock,Transition,14.0,12.0,13.0,1.0,1.0,0.857,0.857,0.857
two-stage (6 examples),Digital Chess Clock,Action,8.0,8.0,8.0,0.0,0.0,1.0,1.0,1.0
two-stage (6 examples),Digital Chess Clock,Composite State,3.0,3.0,3.0,0.0,0.0,1.0,1.0,1.0
two-stage (6 examples),Digital Chess Clock,Guard,4.0,4.0,4.0,0.0,0.0,1.0,1.0,1.0
two-stage (6 examples),Digital Chess Clock,History State,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
two-stage (6 examples),Digital Chess Clock,Region,2.0,1.0,1.0,0.0,1.0,1.0,0.5,0.667
two-stage (6 examples),Digital Chess Clock,State,13.0,11.5,12.0,0.0,1.0,0.958,0.885,0.92
two-stage (6 examples),Digital Chess Clock,Transition,14.0,12.0,12.0,0.0,2.0,1.0,0.857,0.923
one-stage,Dishwasher,Action,7.0,4.0,4.0,0.0,3.0,1.0,0.571,0.727
one-stage,Dishwasher,Composite State,2.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0
one-stage,Dishwasher,Guard,4.0,1.0,1.0,0.0,3.0,1.0,0.25,0.4
one-stage,Dishwasher,History State,1.0,0.0,0.0,0.0,1.0,,0.0,
one-stage,Dishwasher,Region,2.0,0.5,1.0,0.0,1.0,0.5,0.25,0.333
one-stage,Dishwasher,State,12.0,9.0,10.0,0.0,2.0,0.9,0.75,0.818
one-stage,Dishwasher,Transition,19.0,10.5,12.0,0.0,7.0,0.875,0.553,0.677
two-stage (3 examples),Dishwasher,Action,7.0,6.0,7.0,0.0,0.0,0.857,0.857,0.857
two-stage (3 examples),Dishwasher,Composite State,2.0,2.0,2.0,1.0,0.0,0.667,1.0,0.8
two-stage (3 examples),Dishwasher,Guard,4.0,3.5,4.0,0.0,0.0,0.875,0.875,0.875
two-stage (3 examples),Dishwasher,History State,1.0,0.5,1.0,0.0,0.0,0.5,0.5,0.5
two-stage (3 examples),Dishwasher,Region,2.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0
two-stage (3 examples),Dishwasher,State,12.0,12.0,12.0,0.0,0.0,1.0,1.0,1.0
two-stage (3 examples),Dishwasher,Transition,19.0,18.0,19.0,0.0,0.0,0.947,0.947,0.947
two-stage (6 examples),Dishwasher,Action,7.0,5.5,6.0,0.0,1.0,0.917,0.786,0.846
two-stage (6 examples),Dishwasher,Composite State,2.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0
two-stage (6 examples),Dishwasher,Guard,4.0,3.0,3.0,0.0,1.0,1.0,0.75,0.857
two-stage (6 examples),Dishwasher,History State,1.0,0.0,0.0,0.0,1.0,,0.0,
two-stage (6 examples),Dishwasher,Region,2.0,1.0,1.0,0.0,1.0,1.0,0.5,0.667
two-stage (6 examples),Dishwasher,State,12.0,9.0,9.0,0.0,3.0,1.0,0.75,0.857
two-stage (6 examples),Dishwasher,Transition,19.0,13.5,14.0,0.0,5.0,0.964,0.711,0.818
one-stage,Printer,Action,3.0,0.0,0.0,0.0,3.0,,0.0,
one-stage,Printer,Composite State,2.0,1.0,1.0,0.0,1.0,1.0,0.5,0.667
one-stage,Printer,Guard,6.0,5.5,6.0,0.0,0.0,0.917,0.917,0.917
one-stage,Printer,History State,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
one-stage,Printer,Region,0.0,0.0,0.0,0.0,0.0,,,
one-stage,Printer,State,8.0,8.0,8.0,0.0,0.0,1.0,1.0,1.0
one-stage,Printer,Transition,17.0,11.0,13.0,0.0,4.0,0.846,0.647,0.733
two-stage (3 examples),Printer,Action,3.0,3.0,3.0,0.0,0.0,1.0,1.0,1.0
two-stage (3 examples),Printer,Composite State,2.0,2.0,2.0,1.0,0.0,0.667,1.0,0.8
two-stage (3 examples),Printer,Guard,6.0,6.0,6.0,0.0,0.0,1.0,1.0,1.0
two-stage (3 examples),Printer,History State,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
two-stage (3 examples),Printer,Region,0.0,0.0,0.0,0.0,0.0,,,
two-stage (3 examples),Printer,State,8.0,8.0,8.0,0.0,0.0,1.0,1.0,1.0
two-stage (3 examples),Printer,Transition,17.0,17.0,17.0,0.0,0.0,1.0,1.0,1.0
two-stage (6 examples),Printer,Action,3.0,3.0,3.0,0.0,0.0,1.0,1.0,1.0
two-stage (6 examples),Printer,Composite State,2.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0
two-stage (6 examples),Printer,Guard,6.0,6.0,6.0,0.0,0.0,1.0,1.0,1.0
two-stage (6 examples),Printer,History State,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
two-stage (6 examples),Printer,Region,0.0,0.0,0.0,0.0,0.0,,,
two-stage (6 examples),Printer,State,8.0,8.0,8.0,0.0,0.0,1.0,1.0,1.0
two-stage (6 examples),Printer,Transition,17.0,17.0,17.0,0.0,0.0,1.0,1.0,1.0
two-stage (6 examples),SSC7,Action,21.0,15.0,15.0,0.0,6.0,1.0,0.714,0.833
two-stage (6 examples),SSC7,Composite State,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
two-stage (6 examples),SSC7,Guard,11.0,11.0,11.0,0.0,0.0,1.0,1.0,1.0
two-stage (6 examples),SSC7,History State,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
two-stage (6 examples),SSC7,Region,0.0,0.0,0.0,0.0,0.0,,,
two-stage (6 examples),SSC7,State,9.0,9.0,9.0,0.0,0.0,1.0,1.0,1.0
two-stage (6 examples),SSC7,Transition,23.0,23.0,23.0,0.0,0.0,1.0,1.0,1.0
one-stage,Spa Manager,Action,0.0,0.0,0.0,0.0,0.0,,,
one-stage,Spa Manager,Composite State,3.0,3.0,3.0,0.0,0.0,1.0,1.0,1.0
one-stage,Spa Manager,Guard,4.0,4.0,4.0,0.0,0.0,1.0,1.0,1.0
one-stage,Spa Manager,History State,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
