Type,Element,Grading,Notes
State,"initial state (off)",1,Correctly represented
Transition,"initial state (off) => off",1,Correctly represented
State,"Off",1,Correctly represented
Transition,"off => on",1,Correctly represented
Composite State,"On",1,Correctly represented
State,"initial state (on)",1,Correctly represented
Composite State,"GameSetup",1,Represented as Setup
Region,"GameSetup Region 1",0,Regions not used
State,"Initial state (region 1)",1,Represented as initial state of Setup
State,"TimingSelection",1,Correctly represented
Action,"incrTimingProgram()",1,Represented as selectNextTiming()
Action,"decrTimingProgram()",1,Represented as selectPreviousTiming()
Transition,"timing selection => timing selection",1,Correctly represented
Transition,"game setup => ready to start",1,Represented as TimingSelection to TimingSelected
Region,"GameSetup Region 2",0,Regions not used
State,"Initial state (region 2)",0,Regions not used
State,"WhiteKingOnLeft",0,Modeled as action instead of state
State,"WhiteKingOnRight",0,Modeled as action instead of state
Transition,"initial state => white king on left",0,Modeled as action instead of state
Transition,"white king on left => white king on right",0.5,Modeled as swapOrientation action on self-transition
Transition,"white king on right => white king on left",0.5,Modeled as swapOrientation action on self-transition
State,"ReadyToStart",1,Represented as TimingSelected
Transition,"ready to start => game running",1,Represented as Setup to GameActive
Composite State,"GameRunning",1,Represented as GameActive
History State,"H",1,Correctly represented
State,"WhiteClockRunning",1,Represented as WhiteTurn
Action,"startTimer(wc)",1,Represented as startWhiteClock()
Action,"stopTimer(wc)",1,Represented as stopWhiteClock()
Guard,"[wc > 0]",0.5,Implicit in do activity
Action,"decrTimer(wc)",1,Represented as do: countDownWhite()
Transition,"white clock running => white clock running",0.5,Represented as do activity instead of self-transition
State,"BlackClockRunning",1,Represented as BlackTurn
Action,"startTimer(bc)",1,Represented as startBlackClock()
Action,"stopTimer(bc)",1,Represented as stopBlackClock()
Guard,"[bc > 0]",0.5,Implicit in do activity
Action,"decrTimer(bc)",1,Represented as do: countDownBlack()
Transition,"balck clock running => black clock running",0.5,Represented as do activity instead of self-transition
Transition,"game running => game paused",1,Correctly represented
Transition,"game running => game finished",1,Correctly represented
Guard,"[wc == 0]",1,Represented as [whiteTime == 0]
Guard,"[bc == 0]",1,Represented as [blackTime == 0]
State,"GamePaused",1,Represented as Paused
Transition,"game paused => game running",1,Correctly represented
State,"GameFinished",1,Represented as WhiteTimeout and BlackTimeout
Transition,"on => off",1,Correctly represented
State,"additional elements",0,No incorrect additional states
Transition,"additional elements",0,No incorrect additional transitions
Guard,"additional elements",0,No incorrect additional guards
Action,"additional elements",0,No incorrect additional actions
Composite State,"additional elements",0,No incorrect additional composite states
Region,"additional elements",0,No incorrect additional regions
History State,"additional elements",0,No incorrect additional history states
