Type,Element,Grading,Notes
State,Initial state (→ Watch),1,Correctly represented by the initial transition to Watch.
Action,time=0:00:00; alarmTime=0:00:00; alarm=false; flashAlert=false; cdTime=0:00:00,0,No initialization actions are present on the initial transition.
Composite State,Watch,1,Correctly represented by the Watch state.
Region,Light,1,Correctly represented by the Backlight region.
State,Initial state (Light → Off),1,Correctly represented by the initial transition to BacklightOff.
State,Off,1,Correctly represented by BacklightOff.
Action,entry / lightOff(),0,No entry action defined for BacklightOff.
Transition,D (Off ⇒ On),1,Correctly represented by BacklightOff --> BacklightOn : D.
State,On,1,Correctly represented by BacklightOn.
Action,entry / lightOn(),0,No entry action defined for BacklightOn.
Transition,D (On ⇒ Off),1,Correctly represented by BacklightOn --> BacklightOff : D.
Transition,after 10sec (On ⇒ Off),1,Correctly represented by BacklightOn --> BacklightOff : after_10s.
Transition,flash (On ⇒ Flash),1,Correctly represented by transitions to BacklightFlashing on alarmTimeReached and countdownReachedZero.
Guard,[flashAlert],1,Correctly represented by [flashAlertOn].
State,Flash,1,Correctly represented by BacklightFlashing.
Action,do / flash5Sec(),0,No do action defined for BacklightFlashing.
Transition,flash (Flash ⇒ Off),1,Correctly represented by the transition from BacklightOff to BacklightFlashing (assuming typo in rubric for Off => Flash).
Guard,[flashAlert],1,Correctly represented by [flashAlertOn] on the transition from BacklightOff.
Transition,anyButton (Flash ⇒ Off),1,Correctly represented by BacklightFlashing --> BacklightOff : anyButton.
Region,WatchMode,1,Correctly represented by the Main region.
State,Initial state (WatchMode → AlarmOff),1,Correctly represented by the initial transition to NormalOperation.
Composite State,AlarmOff,1,Correctly represented by NormalOperation.
State,Initial state (AlarmOff → TimeKeepingMode),1,Correctly represented by the initial transition to Timekeeping.
Composite State,TimeKeepingMode,1,Correctly represented by Timekeeping.
State,Initial state (TimeKeepingMode → Idle),1,Correctly represented by the initial transition to ShowTime.
State,Idle,1,Correctly represented by ShowTime.
Action,do / displayTime(),0,No do action defined for ShowTime.
Transition,B2sec (Idle ⇒ Idle),1,Correctly represented by ShowTime --> ShowTime : B_held_2s.
Action,toggleFlashAlert(),1,Correctly represented by toggleFlashAlert().
Transition,B (Idle ⇒ Idle),1,Correctly represented by ShowTime --> ShowTime : B.
Action,toggleAlarm(),1,Correctly represented by toggleAlarm().
Transition,C (Idle ⇒ Seconds),1,Correctly represented by ShowTime --> SetTime : C and initial transition to SetSeconds.
Action,flashSeconds(),1,Correctly represented by the note with do: flash() for SetSeconds.
Transition,A (TimeKeepingMode ⇒ AlarmMode),1,Correctly represented by ShowTime --> Alarm : A.
State,Seconds,1,Correctly represented by SetSeconds.
Transition,B (Seconds ⇒ Seconds),1,Correctly represented by SetSeconds --> SetSeconds : B.
Action,time+=1sec,1,Correctly represented by incrementSeconds().
Transition,C (Seconds ⇒ Minutes),1,Correctly represented by SetSeconds --> SetMinutes : C.
Action,flashMinutes(),1,Correctly represented by the note with do: flash() for SetMinutes.
State,Minutes,1,Correctly represented by SetMinutes.
Transition,B (Minutes ⇒ Minutes),1,Correctly represented by SetMinutes --> SetMinutes : B.
Action,time+=1min,1,Correctly represented by incrementMinutes().
Transition,C (Minutes ⇒ Hours),1,Correctly represented by SetMinutes --> SetHours : C.
Action,flashHours(),1,Correctly represented by the note with do: flash() for SetHours.
State,Hours,1,Correctly represented by SetHours.
Transition,B (Hours ⇒ Hours),1,Correctly represented by SetHours --> SetHours : B.
Action,time+=1hr,1,Correctly represented by incrementHours().
Transition,C (Hours ⇒ Seconds),1,Correctly represented by SetHours --> SetSeconds : C.
Action,flashSeconds(),1,Correctly represented by the note with do: flash() for SetSeconds.
Transition,A (TimeKeepingMode ⇒ AlarmMode),1,Correctly represented by ShowTime --> Alarm : A.
Composite State,AlarmMode,1,Correctly represented by Alarm.
State,Initial state (AlarmMode → Idle),1,Correctly represented by the initial transition to ShowAlarm.
State,Idle,1,Correctly represented by ShowAlarm.
Action,entry / displayAlarmTime(),0,No entry action defined for ShowAlarm.
Transition,C (Idle ⇒ Minutes),1,Correctly represented by ShowAlarm --> SetAlarm : C and initial transition to SetAlarmMinutes.
Action,flashMinutes(),1,Correctly represented by the note with do: flash() for SetAlarmMinutes.
Transition,A (AlarmMode ⇒ CountdownMode),1,Correctly represented by ShowAlarm --> Countdown : A.
State,Minutes,1,Correctly represented by SetAlarmMinutes.
Transition,B (Minutes ⇒ Minutes),1,Correctly represented by SetAlarmMinutes --> SetAlarmMinutes : B.
