Type	Element	Grading	Notes
State	Initial state (→ Active)	1	Initial transition enters the main checkout composite named Shopping
Composite State	Active	1	Shopping composite represents the active checkout behavior
State	Initial state (Active → Ready)	1	Shopping initializes to Ready
State	Ready	1	Ready state is present
Transition	scannedNr (Ready ⇒ Ready)	1	Invalid barcode loops in Ready
Guard	[!existsNr()]	1	Nonexistent barcode guard is represented as !exists
Action	error()	1	Invalid barcode shows an error
Transition	productCodeEntered (Ready ⇒ Ready)	1	Invalid product code loops in Ready
Guard	[!existsCode()]	1	Nonexistent product code guard is represented
Action	error()	1	Invalid product code shows an error
Transition	productCodeEntered (Ready ⇒ WeighItem)	1	Valid product code leads to item weighing
Guard	[existsCode()]	1	Valid product code guard is present
Transition	scannedNr (Ready ⇒ CheckWeight)	1	Valid barcode leads to security weight check
Guard	[existsNr()]	1	Valid barcode guard is present
Action	addItem()	0.5	Student shows the scanned item but does not explicitly add it to the bill
Transition	cancelCheckout (Ready ⇒ Override)	1	Cancel all from Ready goes to staff override
Action	setTypeEverything()	1	Cancel all type is encoded by targeting CancelAllOverride
Transition	removeItem (Ready ⇒ Override)	1	Remove item from Ready goes to staff override
Guard	[billHasItem()]	1	Bill not empty guard is present
Action	setTypeItem()	1	Item removal type is encoded by targeting RemoveItemOverride
Transition	broughtOwnBag (Ready ⇒ WeighBag)	1	Own bag request leads to bag weighing
Transition	pay (Ready ⇒ PayRequested)	1	Pay from Ready leads to payment state
Guard	[billHasItem()]	1	Payment requires nonempty bill
Action	sendPaymentRequest()	1	Payment request action is present
State	WeighItem	1	WeighingItem state represents item weighing
Transition	cancel (WeighItem ⇒ Ready)	1	Item weighing can be canceled to Ready
Transition	weighedItem (WeighItem ⇒ CheckWeight)	1	Received item weight leads to security check
Action	addWeighedItem()	0.5	Student shows item and weight but does not explicitly add the weighed item to the bill
State	CheckWeight	1	SecurityCheck represents security weight checking
Transition	secWeighedItem (CheckWeight ⇒ Ready)	1	Matching security weight returns to Ready
Guard	[weightMatched()]	1	Weight match guard is present
Transition	secWeighedItem (CheckWeight ⇒ Override)	1	Weight mismatch leads to staff override
Guard	[!weightMatched()]	1	Weight mismatch guard is present
Action	setTypeItem()	1	Weight mismatch item type is encoded by targeting WeightMismatchOverride
Transition	cancelCheckout (CheckWeight ⇒ Override)	1	Cancel all during security check goes to override
Action	setTypeEverything()	1	Cancel all type is encoded by targeting CancelAllOverride
State	WeighBag	1	WeighingBag state is present
Transition	secWeighedItem (WeighBag ⇒ Ready)	1	Bag weight returns to Ready
Action	addBag()	1	Bag count is updated after weighing
Transition	cancel (WeighBag ⇒ Ready)	1	Bag weighing can be canceled
State	Override	1	StaffOverride composite represents override handling
Action	entry / lightOn()	1	Override note specifies turning the light on on entry
Action	exit / lightOff()	1	Override note specifies turning the light off on exit
Transition	codeEntered (Override ⇒ Ready)	1	Correct item override clears item and returns to the checkout ready area
Guard	[codeCorrect() && isTypeItem()]	1	Correct code plus item type is represented by correct code in item override substates
Action	clearItem()	1	Item override clears the item
Transition	codeEntered (Override ⇒ Ready)	1	Correct cancel all override clears everything and returns to the checkout ready area
Guard	[codeCorrect() && isTypeEverything()]	1	Correct code plus everything type is represented by correct code in CancelAllOverride
Action	clearEverything()	1	Cancel all override clears everything
Transition	codeEntered (Override ⇒ Override)	1	Incorrect code self loops in each override substate
Guard	[!codeCorrect()]	1	Incorrect code guard is present
Transition	timeoutWarning (Active ⇒ TimeoutCountdown)	1	Timeout warning from Shopping goes to TimeoutWarning when not in payment or override
Transition	error()	1	Incorrect override code shows an error
History State	H (Active)	1	H is modeled and continue targets it to resume the prior checkout context
State	TimeoutCountdown	1	TimeoutWarning state represents the countdown state
Action	do / countFrom60()	1	Entry action starts a 60 second countdown
Transition	(TimeoutCountdown ⇒ Active)	1	Countdown expiry returns to the main checkout composite
Action	clearEverything()	1	Countdown expiry clears everything
Action	readyForNextCustomer()	1	Returning to Shopping Ready after clearing represents readiness for the next customer
State	PayRequested	1	Payment state represents requested payment
Transition	fail (PayRequested ⇒ Ready)	1	Payment failure returns to the checkout ready area
Action	error()	1	Payment failure shows an error
Transition	cancel (PayRequested ⇒ Ready)	1	Payment cancellation returns to the checkout ready area
Transition	success (PayRequested ⇒ Ready)	1	Payment success proceeds through bill printing then back to checkout ready
Action	printBill()	1	PrintingBill state prints the bill on entry
Action	readyForNextCustomer()	1	After printing the model clears everything and returns to Ready
State	additional elements	0	Extra PrintingBill and specialized override states are reasonable refinements
Transition	additional elements	0	Extra transitions support the modeled refinements without contradicting behavior
Guard	additional elements	0	No fundamentally incorrect extra guards are present
Action	additional elements	0	No fundamentally incorrect extra actions are present
Composite State	additional elements	0	StaffOverride as a composite is a reasonable modeling choice
Region	additional elements	0	No extra regions are used
History State	additional elements	0	No incorrect extra history states are present
