Type	Element	Grading	Notes
State	Initial state (→ Off)	1	Initial pseudostate enters Off.
State	Off	1	Off state is explicitly modeled.
Transition	on (Off ⇒ On)	1	Off transitions to On using turnOn which is equivalent.
Composite State	On	1	On is modeled as a composite state containing operating behavior.
Transition	on => off	1	On transitions to Off using turnOff which is equivalent.
Composite State	Setup	1	Setup composite state is explicitly modeled.
State	Initial state (Setup → Medium)	1	Crust selection initializes to Medium within Setup.
Action	delay=0; selectFirstCourse()	1	Setup entry sets timer to 0 and selects course 1.
State	Medium	1	Medium crust state is present.
Transition	setup initial state => medium	1	Initial transition in crust selection targets Medium.
Transition	medium => dark	1	Crust button moves Medium to Dark.
State	Dark	1	Dark crust state is present.
Transition	dark => light	1	Crust button moves Dark to Light.
State	Light	1	Light crust state is present.
History State	H	1	Equivalent preservation is handled by concurrent setup regions rather than an explicit history state.
Transition	setup => H	1	Menu is modeled as a course selection self transition preserving other setup choices.
Action	selectNextCourse()	1	Menu action nextCourse captures selecting the next course.
Transition	plus (Setup ⇒ Setup)	1	Plus is modeled as a self transition within timer setup.
Guard	[delay <= 17*60+50]	1	Guard timer < 18h correctly permits increments up to 18 hours.
Action	delay = delay + 10	1	increaseTimer by 10 minutes is modeled.
Transition	minus (Setup ⇒ Setup)	1	Minus is modeled as a self transition within timer setup.
Guard	[delay >= 10]	1	Guard timer > 0 is equivalent because the timer changes in 10 minute steps.
Action	delay = delay - 10	1	decreaseTimer by 10 minutes is modeled.
Transition	start (Setup ⇒ Countdown)	1	Start with timer greater than 0 goes to Countdown.
Guard	[delay > 0]	1	Guard timer > 0 is present.
Transition	start (Setup ⇒ Baking)	1	Start with timer equal to 0 goes directly to baking process.
Guard	[delay == 0]	1	Guard timer == 0 is present.
State	Countdown	1	Countdown state is explicitly modeled.
Action	setCourseTimes()	0	No action sets course specific phase times before delayed baking.
Transition	Countdown => baking	1	Countdown transitions to the baking process when the timer finishes.
Transition	Countdown => setup	1	Stop from Countdown returns to Setup.
Action	setCourseTimes()	0	No action sets course specific phase times before immediate baking.
Composite State	Baking	1	BakingProcess composite represents the baking process.
State	Initial state	1	Baking process initial pseudostate enters Kneading.
State	Kneading	1	Kneading state is present.
Action	startKneading()	1	Kneading has entry action startKneading.
Action	stopKneading()	1	Kneading has exit action stopKneading.
Transition	baking initial state => kneading	1	Initial transition in baking process targets Kneading.
Transition	kneading => rising	1	Kneading transitions to Rising after kneading time.
State	Rising	1	Rising state is present.
Transition	rising => baking	1	Rising transitions to Baking after rising time.
State	Baking	1	Baking phase state is present.
Action	heat()	1	Baking phase includes heat as do activity.
Transition	baking => warming	1	Baking transitions to Warming after baking time.
State	Warming	1	Warming state is present.
Action	warm()	1	Warming includes warm as do activity.
Transition	adter 60min (warming => setup)	1	Warming returns to Setup after 60 minutes.
Transition	baking => setup	1	Stop from the baking process returns to Setup.
State	additional elements	0	No fundamentally incorrect extra states are present.
Transition	additional elements	0	No fundamentally incorrect extra transitions are present.
Guard	additional elements	0	No fundamentally incorrect extra guards are present.
Action	additional elements	0	No fundamentally incorrect extra actions are present.
Composite State	additional elements	0	Extra composites are reasonable decomposition of setup behavior.
Region	additional elements	0	Concurrent regions reasonably model simultaneous setup choices.
History State	additional elements	0	No incorrect extra history states are present.
