Type	Element	Grading	Notes
State	Initial state (→ Watch)	1	Top level initial transition to Watch is present
Action	time=0:00:00; alarmTime=0:00:00; alarm=false; flashAlert=false; cdTime=0:00:00	0	Initial variable assignments are not shown
Composite State	Watch	1	Watch composite state is modeled
Region	Light	1	Backlight region represents the light behavior
State	Initial state (Light → Off)	1	Backlight region initializes to BacklightOff
State	Off	1	BacklightOff state is present
Action	entry / lightOff()	1	BacklightOff has entry action turning the backlight off
Transition	D (Off ⇒ On)	1	D transitions BacklightOff to BacklightOn
State	On	1	BacklightOn state is present
Action	entry / lightOn()	1	BacklightOn has entry action turning the backlight on
Transition	D (On ⇒ Off)	1	D transitions BacklightOn to BacklightOff
Transition	after 10sec (On ⇒ Off)	1	BacklightOn automatically turns off after 10 seconds
Transition	flash (On ⇒ Flash)	0.5	Flashing is handled inside notification actions rather than as a light transition
Guard	[flashAlert]	1	Backlight flashing is conditional through flashBacklightIfFlashAlertOn
State	Flash	0.5	No separate Flash light state but flashing behavior is represented in notifications
Action	do / flash5Sec()	1	Alarm and countdown notifications run for 5 seconds with conditional backlight flashing
Transition	flash (Flash ⇒ Off)	0.5	End of flashing is only implicit through notification exit or timeout
Guard	[flashAlert]	1	Conditional flash alert behavior is represented
Transition	anyButton (Flash ⇒ Off)	0.5	Any button stops notifications but not a separate Flash light state
Region	WatchMode	1	UserInterface NormalOperation region captures the watch modes
State	Initial state (WatchMode → AlarmOff)	1	The user interface initializes to normal non-notification operation
Composite State	AlarmOff	1	NormalOperation represents the non-alarm-notifying watch behavior
State	Initial state (AlarmOff → TimeKeepingMode)	1	NormalOperation initializes to TimekeepingMode
Composite State	TimeKeepingMode	1	TimekeepingMode composite state is present
State	Initial state (TimeKeepingMode → Idle)	1	TimekeepingMode initializes to TimeDisplay
State	Idle	1	TimeDisplay represents idle timekeeping
Action	do / displayTime()	1	TimeDisplay shows the current time
Transition	B2sec (Idle ⇒ Idle)	1	Long B press in TimeDisplay toggles Flash Alert through the FlashAlertSwitch region
Action	toggleFlashAlert()	1	Enable and disable Flash Alert actions are modeled
Transition	B (Idle ⇒ Idle)	1	B press in TimeDisplay toggles the alarm through the AlarmSwitch region
Action	toggleAlarm()	1	Enable and disable alarm actions are modeled
Transition	C (Idle ⇒ Seconds)	1	C from TimeDisplay enters TimeSetSeconds
Action	flashSeconds()	1	TimeSetSeconds flashes the seconds
Transition	A (TimeKeepingMode ⇒ AlarmMode)	1	A from TimeDisplay enters AlarmMode
State	Seconds	1	TimeSetSeconds state is present
Transition	B (Seconds ⇒ Seconds)	1	B self transition increments current seconds
Action	time+=1sec	1	incrementCurrentSeconds captures adding one second
Transition	C (Seconds ⇒ Minutes)	1	C transitions from seconds setting to minutes setting
