Type	Element	Grading	Notes
State	initial state (off)	1	Top level initial pseudostate is shown.
Transition	initial state (off) => off	1	Initial transition targets Off.
State	Off	1	Off state is declared.
Transition	off => on	1	onOff turns Off to On.
Composite State	On	1	On is modeled as a composite state.
State	initial state (on)	1	On has an initial transition to Configuring.
Composite State	GameSetup	0.5	Configuring covers setup but is not modeled as a composite with separate aspects.
Region	GameSetup Region 1	0.5	Timing selection behavior is present but not as an explicit region.
State	Initial state (region 1)	0.5	The setup entry goes to Configuring which serves as timing selection.
State	TimingSelection	1	Configuring is the timing selection state.
Action	incrTimingProgram()	1	plus invokes nextTiming which is equivalent to increasing the timing option.
Action	decrTimingProgram()	1	minus invokes prevTiming which is equivalent to decreasing the timing option.
Transition	timing selection => timing selection	1	plus and minus are self transitions while selecting timing.
Transition	game setup => ready to start	1	select moves from Configuring to ReadyToStart.
Region	GameSetup Region 2	0.5	Color orientation setup is handled by flip actions but not as an explicit separate region.
State	Initial state (region 2)	0	No distinct initial orientation state is modeled.
State	WhiteKingOnLeft	0.5	Orientation is only implicit through swapColors and not a distinct left state.
State	WhiteKingOnRight	0.5	Orientation is only implicit through swapColors and not a distinct right state.
Transition	initial state => white king on left	0	No transition to an explicit left orientation state is shown.
Transition	white king on left => white king on right	0.5	flip with swapColors partially represents changing from left to right.
Transition	white king on right => white king on left	0.5	flip with swapColors partially represents changing from right to left.
State	ReadyToStart	1	ReadyToStart state is declared.
Transition	ready to start => game running	1	startStop from ReadyToStart enters ActiveGame.
Composite State	GameRunning	1	ActiveGame is a composite game running state.
History State	H	0.5	H is named and targeted but not modeled with clear history semantics.
State	WhiteClockRunning	1	WhiteTurn represents White clock running.
Action	startTimer(wc)	0.5	Countdown begins in WhiteTurn but no explicit startTimer action is shown.
Action	stopTimer(wc)	0.5	Leaving WhiteTurn stops its countdown implicitly but no explicit stopTimer action is shown.
Guard	[wc > 0]	1	whiteTime greater than zero guard is present.
Action	decrTimer(wc)	1	decrementWhite is equivalent to decrementing the white clock.
Transition	white clock running => white clock running	1	WhiteTurn has an after1sec self transition.
State	BlackClockRunning	1	BlackTurn represents Black clock running.
Action	startTimer(bc)	0.5	Countdown begins in BlackTurn but no explicit startTimer action is shown.
Action	stopTimer(bc)	0.5	Leaving BlackTurn stops its countdown implicitly but no explicit stopTimer action is shown.
Guard	[bc > 0]	1	blackTime greater than zero guard is present.
Action	decrTimer(bc)	1	decrementBlack is equivalent to decrementing the black clock.
Transition	balck clock running => black clock running	1	BlackTurn has an after1sec self transition.
Transition	game running => game paused	1	ActiveGame goes to Paused on startStop.
Transition	game running => game finished	1	zero time transitions from running substates go to Flagged.
Guard	[wc == 0]	1	whiteTime equals zero guard is present.
Guard	[bc == 0]	1	blackTime equals zero guard is present.
State	GamePaused	1	Paused state is declared.
Transition	game paused => game running	0.5	startStop from Paused targets H but resume to the previous running clock is incomplete.
State	GameFinished	1	Flagged represents the finished flag condition.
Transition	on => off	1	On goes to Off on onOff.
State	additional elements	0	No fundamentally incorrect extra states.
Transition	additional elements	0	No fundamentally incorrect extra transitions.
Guard	additional elements	0	No fundamentally incorrect extra guards.
Action	additional elements	0	No fundamentally incorrect extra actions.
Composite State	additional elements	0	No fundamentally incorrect extra composite states.
Region	additional elements	0	No fundamentally incorrect extra regions.
History State	additional elements	0	No fundamentally incorrect extra history states.
