Type	Element	Grading	Notes
State	initial state (⇒ TransportationMode)	1	Correctly represented.
State	TransportationMode	1	Correctly represented.
Transition	selectorPressed (TransportationMode ⇒ On)	1	Correctly represented.
State	PreparingOff	1	Represented by multiple holding states and ShutdownMessage.
Transition	selectorReleased (PreparingOff ⇒ On)	1	Correctly represented across multiple holding states.
Transition	after 5sec (PreparingOff ⇒ Off)	1	Correctly represented with an intermediate ShutdownMessage state.
State	Off	1	Correctly represented.
Transition	selectorPressed (Off ⇒ On)	1	Correctly represented.
Composite State	On	1	Correctly represented.
History State	History State for On	0.5	History state is used within RecipeExecution but not globally for the On state.
Transition	selectorHeld (On ⇒ PreparingOff)	1	Represented by multiple transitions from sub-states.
Transition	bowlRemoved (On ⇒ On)	0.5	Partially represented; bowlRemoved transitions exist but not globally for On.
State	Initial State (On ⇒ Home)	1	Correctly represented.
State	Home	1	Correctly represented.
Transition	after 14min 30sec (Home ⇒ Preparing Shutdown)	1	Correctly represented from the Operating superstate.
Transition	start (Home ⇒ PromptToAdd)	1	Represented via RecipeSelected intermediate state.
Guard	[!bowlRemoved()]	1	Correctly represented as bowlPlaced().
Action	setIngredients()	1	Represented by loadRecipeSteps and instructAddIngredients.
State	Preparing Shutdown	1	Correctly represented as AutoShutdownWarning.
Transition	after 30sec (Preparing Shutdown ⇒ Off)	1	Correctly represented.
Transition	cancel (Preparing Shutdown ⇒ Home)	1	Correctly represented.
State	PromptToAdd	1	Represented by AddIngredients and IngredientsAmountConfirmed.
Transition	next (PromptToAdd ⇒ PromptToAdd)	0	Not represented; student uses a linear flow returning to AddIngredients after Cooking.
Guard	[weightCorrect() && moreIngredientsRequired()]	0.5	Partially represented; correctAmountAdded is present but moreIngredientsRequired is checked later.
Action	setIngredients()	0.5	Partially represented.
Transition	next (PromptToAdd ⇒ Chop)	1	Correctly represented.
Guard	[weightCorrect() && !moreIngredientsRequired()]	0.5	Partially represented; weight correctness is checked in the previous transition.
Action	setChoppingSpeedAndTime()	1	Correctly represented as entry action.
State	Chop	1	Correctly represented.
Transition	next (Chop ⇒ PromptToAdd)	0	Not represented; student transitions to ReadyForCooking instead.
Guard	[choppingTimeDone && moreIngredientsRequired()]	0.5	Partially represented; choppingDone is present but moreIngredientsRequired is not checked here.
Action	setIngredients()	0	Not represented.
Transition	next (Chop ⇒ Cook)	1	Represented via ReadyForCooking intermediate state.
Guard	[choppingTimeDone && !moreIngredientsRequired()]	0.5	Partially represented.
Action	setCookingSpeedAndTime()	1	Correctly represented as entry action.
State	Cook	1	Correctly represented.
Transition	after choppingTime (Cook ⇒ PromptToAdd)	1	Correctly represented.
Guard	[choppingTimeDone && moreIngredientsRequired()]	1	Correctly represented as hasMoreRecipeSteps().
Action	setIngredients()	1	Correctly represented.
Transition	after cookingTime (Cook ⇒ Ready)	1	Correctly represented.
Guard	[!moreIngredientsRequired()]	1	Correctly represented.
State	Ready	1	Correctly represented.
Transition	after 14min 30sec (Ready ⇒ Preparing Shutdown)	1	Correctly represented by superstate transition.
State	additional elements	0	Additional states are reasonable elaborations of the system description.
Transition	additional elements	0	Additional transitions are reasonable.
Guard	additional elements	0	Additional guards are reasonable.
Action	additional elements	0	Additional actions are reasonable.
Composite State	additional elements	0	Additional composite states are reasonable.
Region	additional elements	0	No unnecessary regions.
History State	additional elements	0	No unnecessary history states.
