Type	Element	Grading	Notes
State	Initial state (→ Off)	1	Initial state correctly transitions to Off
State	Off	1	Off state is present
Transition	on (Off ⇒ On)	1	Transition from Off to On with 'on' event is present
Composite State	On	1	On composite state is present
Transition	on => off	1	Transition from On to Off with 'off' event is present
Composite State	Setup	0.5	Configuration state serves as setup but lacks internal structure for crust selection
State	Initial state (Setup → Medium)	0	No explicit Medium state or crust selection substates
Action	delay=0; selectFirstCourse()	0	No initialization action for delay or course selection
State	Medium	0	No Medium state for crust selection
Transition	setup initial state => medium	0	No transition to Medium state
Transition	medium => dark	0	No transition between crust states
State	Dark	0	No Dark state for crust selection
Transition	dark => light	0	No transition between crust states
State	Light	0	No Light state for crust selection
History State	H	0	No history state present
Transition	setup => H	0	No transition to history state
Action	selectNextCourse()	0	No action for course selection on menu button
Transition	plus (Setup ⇒ Setup)	1	Self-transition on Configuration with plus event and guard present
Guard	[delay <= 17*60+50]	1	Guard [timer < 1080] is equivalent to delay <= 1080 minutes (18 hours)
Action	delay = delay + 10	0	No explicit action shown for incrementing timer
Transition	minus (Setup ⇒ Setup)	1	Self-transition on Configuration with minus event and guard present
Guard	[delay >= 10]	1	Guard [timer > 0] ensures timer is positive before decrement
Action	delay = delay - 10	0	No explicit action shown for decrementing timer
Transition	start (Setup ⇒ Countdown)	1	Transition from Configuration to Countdown with start event and guard [timer > 0]
Guard	[delay > 0]	1	Guard [timer > 0] is present on transition to Countdown
Transition	start (Setup ⇒ Baking)	1	Transition from Configuration to BakingProcess with start event and guard [timer == 0]
Guard	[delay == 0]	1	Guard [timer == 0] is present on transition to BakingProcess
State	Countdown	1	Countdown state is present
Action	setCourseTimes()	0	No setCourseTime action on transition to Baking
Transition	Countdown => baking	1	Transition from Countdown to BakingProcess with timerExpired event
Transition	Countdown => setup	1	Transition from Countdown to Configuration with stop event
Action	setCourseTimes()	0	No setCourseTime action on transition from Countdown
Composite State	Baking	1	BakingProcess composite state is present
State	Initial state	1	Initial state in BakingProcess transitions to Kneading
State	Kneading	1	Kneading state is present
Action	startKneading()	1	Entry action startKneading() is documented in note
Action	stopKneading()	1	Exit action stopKneading() is documented in note
Transition	baking initial state => kneading	1	Initial state transitions to Kneading
Transition	kneading => rising	1	Transition from Kneading to Rising with phaseComplete event
State	Rising	1	Rising state is present
Transition	rising => baking	1	Transition from Rising to Baking with phaseComplete event
State	Baking	1	Baking state is present
Action	heat()	1	Entry action heat() is documented in note
Transition	baking => warming	1	Transition from Baking to Warming with phaseComplete event
State	Warming	1	Warming state is present
Action	warm()	1	Entry action warm() is documented in note
Transition	adter 60min (warming => setup)	1	Transition from Warming to Configuration with phaseComplete event
Transition	baking => setup	1	Transition from BakingProcess to Configuration with stop event
State	additional elements	0	No additional incorrect states
Transition	additional elements	0	No additional incorrect transitions
Guard	additional elements	0	No additional incorrect guards
Action	additional elements	0	No additional incorrect actions
Composite State	additional elements	0	No additional incorrect composite states
Region	additional elements	0	No additional incorrect regions
History State	additional elements	0	No additional incorrect history states
