Type	Element	Grading	Notes
State	initial state (⇒ TransportationMode)	1	Initial state correctly transitions to TransportationMode
State	TransportationMode	1	TransportationMode state is present
Transition	selectorPressed (TransportationMode ⇒ On)	1	Transition present with selectorPressed event and deactivateTransportationMode action
State	PreparingOff	0.5	Student uses SwitchingOff state which captures the switching off behavior but requires selectorHeld with time guard instead of separate PreparingOff state
Transition	selectorReleased (PreparingOff ⇒ On)	0	Student model transitions from SwitchingOff to Off on selectorReleased; does not return to On
Transition	after 5sec (PreparingOff ⇒ Off)	0	Student uses guard [time >= 5s] on selectorHeld transition rather than after 5sec transition from PreparingOff
State	Off	1	Off state is present
Transition	selectorPressed (Off ⇒ On)	1	Transition from Off to On on selectorPressed is present
Composite State	On	1	On is modeled as a composite state containing substates
History State	History State for On	0	No history state is present in the On composite state
Transition	selectorHeld (On ⇒ PreparingOff)	0.5	Student has selectorHeld transition from On to SwitchingOff which is semantically similar but uses different timing mechanism
Transition	bowlRemoved (On ⇒ On)	1	Transition from Cooking to HomeScreen on bowlRemoved and from ShutdownWarning to HomeScreen on bowlRemoved capture the bowl removal behavior
State	Initial State (On ⇒ Home)	1	Initial state within On correctly points to HomeScreen
State	Home	1	HomeScreen state is present and serves as the home state
Transition	after 14min 30sec (Home ⇒ Preparing Shutdown)	1	Transition from HomeScreen to ShutdownWarning after 14m30s is present
Transition	start (Home ⇒ PromptToAdd)	0.5	Student has start transition from RecipeSelected to Cooking with bowlPlaced guard; missing direct Home to ingredient adding and guard for bowl not removed
Guard	[!bowlRemoved()]	0	No guard checking bowl not removed on start transition
Action	setIngredients()	0	No setIngredients action present on transitions
State	Preparing Shutdown	1	ShutdownWarning state represents the preparing shutdown state
Transition	after 30sec (Preparing Shutdown ⇒ Off)	1	Transition from ShutdownWarning to Off after 30s is present
Transition	cancel (Preparing Shutdown ⇒ Home)	1	Transition from ShutdownWarning to HomeScreen on cancel is present
State	PromptToAdd	1	AddIngredients state represents the prompt to add ingredients state
Transition	next (PromptToAdd ⇒ PromptToAdd)	0.5	Student has transition from CookingDone to AddIngredients on promptAddIngredients which partially captures looping behavior but missing self-transition with weight and more ingredients guards
Guard	[weightCorrect() && moreIngredientsRequired()]	0.5	Student has [correctAmountAdded] guard which partially captures weight correctness but missing explicit more ingredients check on loop
Action	setIngredients()	0	No setIngredients action on the loop transition
Transition	next (PromptToAdd ⇒ Chop)	1	Transition from AddIngredients to Chopping on next with correctAmountAdded guard captures the progression
Guard	[weightCorrect() && !moreIngredientsRequired()]	0.5	Student has [correctAmountAdded] guard which captures weight check but missing explicit check for no more ingredients required
Action	setChoppingSpeedAndTime()	0	No setChoppingSpeedAndTime action present
State	Chop	1	Chopping state is present
Transition	next (Chop ⇒ PromptToAdd)	0.5	Student has CookingDone to AddIngredients transition which captures returning to add ingredients but not directly from Chop state
Guard	[choppingTimeDone && moreIngredientsRequired()]	0	No guard checking chopping time done and more ingredients on transition from Chop
Action	setIngredients()	0	No setIngredients action on transition from Chop to add ingredients
Transition	next (Chop ⇒ Cook)	1	Transition from ChoppingDone to CookingStep on next is present
Guard	[choppingTimeDone && !moreIngredientsRequired()]	0.5	Student uses choppingCompleted event to transition to ChoppingDone which implicitly captures chopping time done but missing explicit guard
Action	setCookingSpeedAndTime()	0	No setCookingSpeedAndTime action present
State	Cook	1	CookingStep state represents the cooking state
Transition	after choppingTime (Cook ⇒ PromptToAdd)	0	Student model does not have transition from Cook back to AddIngredients; CookingDone to AddIngredients exists but triggered by promptAddIngredients not after time
Guard	[choppingTimeDone && moreIngredientsRequired()]	0	No guard with chopping time done and more ingredients on Cook to PromptToAdd transition
Action	setIngredients()	0	No setIngredients action on transition from Cook
Transition	after cookingTime (Cook ⇒ Ready)	0.5	Student has cookingCompleted event transitioning to CookingDone then to MealReady which captures cooking completion but uses event rather than after time
Guard	[!moreIngredientsRequired()]	0.5	Student has lastStepCompleted event which implicitly captures no more ingredients but not as explicit guard
State	Ready	1	MealReady state represents the ready state
Transition	after 14min 30sec (Ready ⇒ Preparing Shutdown)	0	No transition from MealReady to ShutdownWarning after timeout
State	additional elements	1	RecipeSelected state is an unnecessary intermediate state not described in system description
Transition	additional elements	0	No fundamentally incorrect additional transitions
Guard	additional elements	0	No fundamentally incorrect additional guards
Action	additional elements	0	No fundamentally incorrect additional actions
Composite State	additional elements	1	Cooking composite state adds unnecessary hierarchy not required by system description
Region	additional elements	0	No additional regions present
History State	additional elements	0	No additional history states present
